Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
Air max taille 21,8.0,NIKE,"GRIS, JAUNE",21,https://www.vinted.fr/items/3678325504-air-max-taille-21?referrer=catalog,https://images1.vinted.net/t/02_00d84_3Wu7J6o1mmYUxhh8koasNuia/310x430/1698519865.jpeg?s=8cd2ab8a493a0453c3595f14d206b41a7d02bcbb,FRANCE,Kid,50.58615778249138,405,354.4138422175086,138.64588235294113,130.64588235294113
Basket air max 1 ,8.0,NIKE,"BLANC, ROSE",29,https://www.vinted.fr/items/3839735280-basket-air-max-1?referrer=catalog,https://images1.vinted.net/t/03_00008_kVVmSUMYV52cbTrS2F9VUSUa/310x430/1701607859.jpeg?s=dbb10eddd5e6533c7b2aeaf1de905a9baba48b2e,"ROCHE-LA-MOLIÈRE, FRANCE",Kid,81.7266945651354,405,323.2733054348646,138.64588235294113,130.64588235294113
"Basket Nike ""Air Max""",8.0,NIKE,"BLANC, ROSE",35,https://www.vinted.fr/items/3904312378-basket-nike-air-max?referrer=catalog,https://images1.vinted.net/t/01_0027d_5fVmJV7VX5WNyt3Rx9YuVSmc/310x430/r1/1703335105.jpeg?s=195497b3d0ee933b12a4ce503932c15f80754b66,"MENNECY, FRANCE",Women,6.561751263952241,405,398.4382487360477,138.64588235294113,130.64588235294113
Sapatilhas Nike Air Max tamanho 23 1/2,8.0,NIKE,"GRIS, ROSE",23,https://www.vinted.fr/items/2987733294-sapatilhas-nike-air-max-tamanho-23-12?referrer=catalog,https://images1.vinted.net/t/02_011ef_4kBjaDBzzWTEDUzWpWAfxhnq/310x430/1683397891.jpeg?s=9d2f4c6f22ac563185166a1af653233b77cccd34,"LOBÃO, PORTUGAL",Kid,244.27336464237453,405,160.72663535762547,138.64588235294113,130.64588235294113
"Obra ""Nike AIR Max _ 1/97 """,8.0,NIKE,"BLANC, MULTICOLORE",44,https://www.vinted.fr/items/3905942860-obra-nike-air-max-197?referrer=catalog,https://images1.vinted.net/t/01_014c3_yKAPeDDp5P7vbYjzkpDffHDx/310x430/1703423548.jpeg?s=19f52a368d6537cd018c129bad68dc21dc8b254c,ESPAGNE,Men,240.8196873683885,405,164.18031263161154,138.64588235294113,130.64588235294113
Basket nike,10.0,NIKE,ROUGE,18,https://www.vinted.fr/items/115373362-basket-nike?referrer=catalog,https://images1.vinted.net/t/01_00d2c_2WixRkQVE2Z3wqMq3tfftbYm/310x430/1602274194.jpeg?s=ac207cffa423064a34716caef0788aa20fb57298,"CORNEBARRIEU, FRANCE",Kid,116.87417986211685,405,288.1258201378832,138.64588235294113,128.64588235294113
Basket air max,10.0,NIKE,NOIR,37.5,https://www.vinted.fr/items/385892466-basket-air-max?referrer=catalog,https://images1.vinted.net/t/02_01b81_aqLq6UPmb82FowXfpoTZSg5C/310x430/1604915164.jpeg?s=4b64f9f4e8974c30d2a95371c13fe6aee0e90d92,"CHATOU, FRANCE",Women,2.951757164421153,405,402.0482428355788,138.64588235294113,128.64588235294113
Nike Air Max SC,10.0,NIKE,"BLANC, ROSE",22,https://www.vinted.fr/items/3514035319-nike-air-max-sc?referrer=catalog,https://images1.vinted.net/t/02_01e2a_aaAapghDCUWgsbfes5Hogkei/310x430/1695541075.jpeg?s=fde4c4318cabaa83eafb631054c9baee1f79c822,"PARIS, FRANCE",Kid,0.4747044229210948,405,404.5252955770789,138.64588235294113,128.64588235294113
Air max ,10.0,NIKE,"GRIS, ROSE",31,https://www.vinted.fr/items/3087572634-air-max?referrer=catalog,https://images1.vinted.net/t/02_01cd6_Sc2obrvPnzDaBJuPPkGH7cNx/310x430/1685629092.jpeg?s=bb5dd68de423ee7a71d29b9a245a2f42f9a422bd,"FATINES, FRANCE",Kid,34.706830648681034,405,370.29316935131897,138.64588235294113,128.64588235294113
"Basket  nike""air max invigor"" grise",10.0,NIKE,GRIS,23,https://www.vinted.fr/items/537059051-basket-nikeair-max-invigor-grise?referrer=catalog,https://images1.vinted.net/t/01_00b5f_Nc1ivyBpeAN28sfMm85hwPf4/310x430/1593856916.jpeg?s=43fc4f62cee6370d5cc0d0f9d58a3e6626b0ef1c,"SAINT-AVÉ, FRANCE",Kid,79.847276383885,405,325.152723616115,138.64588235294113,128.64588235294113
Air max 19.5 fille,10.0,NIKE,"NOIR, ROSE",19,https://www.vinted.fr/items/3616913226-air-max-195-fille?referrer=catalog,https://images1.vinted.net/t/01_0223a_4dCHcxeJ4i7s3FPumKieD1Fi/310x430/1697448787.jpeg?s=12aa0a9c2da44962f7bfe866bba960d0ba746619,"BOURG-EN-BRESSE, FRANCE",Kid,73.11791615388915,405,331.88208384611085,138.64588235294113,128.64588235294113
Nike air max 1 just do it ,10.0,NIKE,ORANGE,36,https://www.vinted.fr/items/3693125148-nike-air-max-1-just-do-it?referrer=catalog,https://images1.vinted.net/t/02_00f6c_VSvNRDvfwiYTS9CVSy62o4Zk/310x430/1698793696.jpeg?s=d2eb662feb46f184668b397b44ac2b3a3bbbcff6,"MARSEILLE 11, FRANCE",Kid,132.83598637112388,405,272.1640136288761,138.64588235294113,128.64588235294113
Nike air max 1 ,10.0,NIKE,NOIR,38,https://www.vinted.fr/items/2556266603-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/03_021a4_PecHLB7t2DJPQTcfsq7hYAMj/310x430/1672828021.jpeg?s=2bef5cab12210d925ad5a037ab3ae8c0e86b3034,"LISBOA, PORTUGAL",Women,291.0015975219172,405,113.99840247808282,138.64588235294113,128.64588235294113
Nike Air Max,10.0,NIKE,"ROSE, BLEU",22,https://www.vinted.fr/items/3053539982-nike-air-max?referrer=catalog,https://images1.vinted.net/t/03_016c7_Zumw2hv1VbuXGWHe63mJaNvi/310x430/1684845257.jpeg?s=1cd25414841ec591da32f853bea90e30fa4d3884,"OLIVEIRA DE AZEMÉIS, PORTUGAL",Kid,246.6601741238945,405,158.33982587610546,138.64588235294113,128.64588235294113
Baskets Nike Air Max,10.0,NIKE,"GRIS, ROSE",21,https://www.vinted.fr/items/3529501616-baskets-nike-air-max?referrer=catalog,https://images1.vinted.net/t/03_01d0c_rhxN49k54jSsQbVRSjjeByeY/310x430/1695803673.jpeg?s=2c31e0ce7887b19b4eb0f3cba9457f2c7b2d9747,FRANCE,Kid,50.58615778249138,405,354.4138422175086,138.64588235294113,128.64588235294113
Basket Nike Air Max 1 Ultra Essentials T36,10.0,NIKE,NOIR,36,https://www.vinted.fr/items/348397603-basket-nike-air-max-1-ultra-essentials-t36?referrer=catalog,https://images1.vinted.net/t/01_00ed7_9SeArx4MtG3ztXWNGBc9JqeZ/310x430/1602986868.jpeg?s=9fcb34f7e2a46dd74b478ba5c3fbe089b6b480c5,"VINCENNES, FRANCE",Women,1.299901924585331,405,403.7000980754146,138.64588235294113,128.64588235294113
Basket air max pointure 35,10.0,NIKE,"GRIS, ROSE",35,https://www.vinted.fr/items/3887569159-basket-air-max-pointure-35?referrer=catalog,https://images1.vinted.net/t/01_013b6_dBj48xS1veK3pznLYSnZwDna/310x430/1702734303.jpeg?s=f5e0c0c30fe05ff6333541e7bc7fa37d3f6ec841,FRANCE,Kid,50.58615778249138,405,354.4138422175086,138.64588235294113,128.64588235294113
"Scarpe NIKE air max EXCEE n.39 (6,5)",11.0,NIKE,"CORAIL, ROSE",39,https://www.vinted.fr/items/3498935102-scarpe-nike-air-max-excee-n39-65?referrer=catalog,https://images1.vinted.net/t/02_01a31_nmJdq4b552w8Kjj8yhPCYnnm/310x430/1695221352.jpeg?s=138370927f9dcb781b57c28f3609a0fb470c3788,"CISERANO, ITALIE",Kid,131.622798969208,405,273.377201030792,138.64588235294113,127.64588235294111
Nike Air Max 1 ,12.0,NIKE,GRIS,37.5,https://www.vinted.fr/items/778990870-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/02_00b8d_iQyW8AcazMrQNJsjGXpwkhyj/310x430/1607001344.jpeg?s=96ec93b4273e3e4c7eeedd292bbf692a7ed00161,"SANTA COLOMA DE GRAMENET, ESPAGNE",Women,164.60692265431496,405,240.39307734568504,138.64588235294113,126.64588235294111
Nike air Max ,12.0,NIKE,"NOIR, ROSE",18,https://www.vinted.fr/items/133003487-nike-air-max?referrer=catalog,https://images1.vinted.net/t/01_01013_Y61koc28xtzGQZ9ULrdBTwEK/310x430/1601944108.jpeg?s=19b0197a867a574f16b6f317aeaf8a812d74cc0b,"POLLESTRES, FRANCE",Kid,138.3796164252959,405,266.6203835747041,138.64588235294113,126.64588235294111
