Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
Air force 1 ,3.5,NIKE,"NOIR, BLANC",23,https://www.vinted.fr/items/3803206036-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_00e3f_soGZYV6ZGbnzEMrcY6RrZKUX/310x430/1700836119.jpeg?s=d0168fb2442565e46bcfcffbb190d674c61ea593,"PORTO, PORTUGAL",Kid,242.90350255550675,405,162.09649744449325,117.33137931034476,113.83137931034476
Chaussures Nike Air Orange ,3.5,NIKE,"ORANGE, BLANC",37,https://www.vinted.fr/items/3124028095-chaussures-nike-air-orange?referrer=catalog,https://images1.vinted.net/t/01_02588_5vc8NbbrXrBSZBKo7QH8iA1d/310x430/1686485342.jpeg?s=8db418f81909b2efb5d0d1e340ec671bfcb16327,"SAINTE-MAURE-DE-TOURAINE, FRANCE",Kid,46.653032438911296,405,358.3469675610887,117.33137931034476,113.83137931034476
Air force bébé,5.0,NIKE,BLANC,1-3 mois / 56 cm,https://www.vinted.fr/items/3649411494-air-force-bebe?referrer=catalog,https://images1.vinted.net/t/03_026e1_1gfWBBDD3nhxmfthP6b6ApkR/310x430/1697992508.jpeg?s=f3461194f7b73586084d1214122b33ccf1dce9dd,"NORMANVILLE, FRANCE",Kid,31.657667960614067,405,373.342332039386,117.33137931034476,112.33137931034476
Nike Air Force 1,5.0,NIKE,"BLEU, JAUNE","40,5",https://www.vinted.fr/items/3639577938-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_023d5_t8rfdspW3N2DSoChdJrED53f/310x430/1697877568.jpeg?s=0e8c230f6661e8e6853ed95b7dd7b5bf69902db3,"BILBAO, ESPAGNE",Men,148.7709084667013,405,256.22909153329874,117.33137931034476,112.33137931034476
Air Force 1 ,5.0,NIKE,BLANC,18,https://www.vinted.fr/items/3843477416-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_023e4_eML69SVVgVgN12JPv53jLAQo/310x430/1701681204.jpeg?s=d6b18dd644e3c65462244785b32d34406684310a,"FIGARI, FRANCE",Kid,195.21295047088972,405,209.78704952911025,117.33137931034476,112.33137931034476
"Nike Air Force 1 licht roze maat 33,5",5.0,NIKE,ROSE,33,https://www.vinted.fr/items/3854551971-nike-air-force-1-licht-roze-maat-335?referrer=catalog,https://images1.vinted.net/t/02_00d5d_329EvRZH6PC1s1qSrFMxPK45/310x430/1701940791.jpeg?s=628c31f65db8492b15cd57230933d96818a6d09e,"ALMERE, PAYS-BAS",Kid,89.40017196593149,405,315.59982803406854,117.33137931034476,112.33137931034476
Nike Air Force 1,5.0,NIKE,"BLEU, JAUNE","40,5",https://www.vinted.fr/items/3639577938-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_023d5_t8rfdspW3N2DSoChdJrED53f/310x430/1697877568.jpeg?s=0e8c230f6661e8e6853ed95b7dd7b5bf69902db3,"BILBAO, ESPAGNE",Women,148.7709084667013,405,256.22909153329874,117.33137931034476,112.33137931034476
Air force 1,5.0,NIKE,BLANC,27,https://www.vinted.fr/items/3512545663-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_01e61_kEc9t4PwSwyLfPAQETncAZZa/310x430/1695487624.jpeg?s=7ffd9625198c053eb33dce8f2bd72f4113f35c8f,"SENLIS, FRANCE",Kid,37.405798335169166,405,367.5942016648309,117.33137931034476,112.33137931034476
Air force Nike ,5.0,NIKE,BLANC,30,https://www.vinted.fr/items/3500082283-air-force-nike?referrer=catalog,https://images1.vinted.net/t/01_02447_xi98E3D9SKuJW3KMtqiFmuye/310x430/1695234624.jpeg?s=f7e15a6289748396e1e2d6c28f7c4fa1cb5fd93f,"MESSAC, FRANCE",Kid,87.92358251296844,405,317.0764174870316,117.33137931034476,112.33137931034476
Nike Air Force 1 ,6.0,NIKE,BLANC,25,https://www.vinted.fr/items/3567802556-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_0170f_nRSoJof1GZQHAPGaXp77SHmb/310x430/1696531360.jpeg?s=51be29dc4b8c1f03f1b77e166dbde88cb867c484,"AIZENAY, FRANCE",Kid,75.73669989939565,405,329.26330010060434,117.33137931034476,111.33137931034476
Air force 1 blanc,6.0,NIKE,BLANC,21,https://www.vinted.fr/items/3855502140-air-force-1-blanc?referrer=catalog,https://images1.vinted.net/t/03_007e1_C2xbMmJo1zoVqYXr6DcVbzEz/310x430/1701955235.jpeg?s=9ab39d78f1c20b4a4482951d8bd5ecf70abf8829,"PESCHADOIRES, FRANCE",Kid,69.57394231227583,405,335.4260576877241,117.33137931034476,111.33137931034476
Air force 1,6.0,NIKE,"NOIR, BLANC",22,https://www.vinted.fr/items/3573625925-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_02348_iYtALgyuiDaL6Uj8b3cxLVpP/310x430/1696675088.jpeg?s=2ee98119ad0daa4f64fabf5aa3db257be4999a3b,"MONTPELLIER, FRANCE",Kid,118.95161652537875,405,286.04838347462123,117.33137931034476,111.33137931034476
Basket air force 1,6.0,NIKE,NOIR,21,https://www.vinted.fr/items/3163336991-basket-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_01fd6_9qcWQWtzeJT2PUc6b9VMQUzx/310x430/1693664963.jpeg?s=d91496e2805c7b145670b8b31747aca9d2483de2,"SAINT-SULPICE, FRANCE",Kid,11.488096969706104,405,393.5119030302939,117.33137931034476,111.33137931034476
Nike air force 1 bebe 17,6.5,NIKE,BLANC,17,https://www.vinted.fr/items/3799360425-nike-air-force-1-bebe-17?referrer=catalog,https://images1.vinted.net/t/01_011db_32Pew4dPVg829yyJQPJqB63U/310x430/1700749206.jpeg?s=8abce096e991c4b7a18bc13071ea8335924a0589,"VIEILLEVIGNE, FRANCE",Kid,121.73003047926171,405,283.2699695207383,117.33137931034476,110.83137931034476
Nike air force 1 ,7.0,NIKE,BLANC,21,https://www.vinted.fr/items/3768261182-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_02537_S3XJMpUqXbssMuU2wWuvCE36/310x430/1700150052.jpeg?s=fe9db2bcf4cedba6720ffd979d7c58ac333141f8,"URCUIT, FRANCE",Kid,132.2586752168326,405,272.74132478316744,117.33137931034476,110.33137931034476
Nike air force 1,7.0,NIKE,NOIR,22,https://www.vinted.fr/items/3601343997-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_01fb0_sYRRfpFegkZfvSuku2JzePZJ/310x430/1697187797.jpeg?s=dc285b0c102a4bb157165c8467092ebc2d5cf68f,"RIMINI, ITALIE",Kid,191.8410621094338,405,213.1589378905662,117.33137931034476,110.33137931034476
Nike air force 1 ,7.0,NIKE,NOIR,18,https://www.vinted.fr/items/3843752855-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_00976_85DTKDKdndZqaJYpNMyNfzMp/310x430/1701685555.jpeg?s=d28cc0a252aea89c71bafecd20a890474bb7a072,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,110.33137931034476
