Title;Price;Brand;Color;Size;Link;Image Source;Localisation;Gender;Approximate Carbon Footprint (kg CO2);Approximative Carbon Print from Ordering on Nike (kg CO2/ton);Carbon Profit (kg CO2);Average price of the product on Nike;Profit Made;
Baskets blazer low;3.0;NIKE;BLANC;29;https://www.vinted.fr/items/3853744571-baskets-blazer-low?referrer=catalog;https://images1.vinted.net/t/03_00862_ZgCjuxpWQXg2zVpPfHVzs3cv/310x430/1701895670.jpeg?s=4863fd3c8477c4208c9d4b6f2daaca1ad373ac1e;RAISMES, FRANCE;Kid;37.849440217816145;405;367.15055978218385;88.6856756756756;85.6856756756756;
Nike blazer;4.0;NIKE;GRIS, ROSE;37.5;https://www.vinted.fr/items/276833690-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00ef1_Aip1r7zuGsQZv2oYfu2WbuTi/310x430/1602211485.jpeg?s=483267c7163c8ff76a5c29a2ff83867eb2aa092d;MARSEILLE, FRANCE;Women;132.10630160408124;405;272.89369839591876;88.6856756756756;84.6856756756756;
Nike blazer ;5.0;NIKE;BLEU, CRÈME;39.0;https://www.vinted.fr/items/920130087-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_002f0_Bf4V5r85N63QFgbbw4LwTUCu/310x430/1614014448.jpeg?s=84c8ff596e753aa100d63a3348faed5dd36ea45a;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;83.6856756756756;
Blazer nike;5.0;NIKE;GRIS, BLANC;37.5;https://www.vinted.fr/items/3181960447-blazer-nike?referrer=catalog;https://images1.vinted.net/t/02_0152d_yd3gbWfFNZiGCjqStd8PvkoD/310x430/1687882059.jpeg?s=e78a624006ea4874263a802d8945d32a9138daed;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;83.6856756756756;
Nike blazer ;5.0;NIKE;GRIS, ROSE;36.0;https://www.vinted.fr/items/1619529192-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_000a1_ez3c2r54d6eD778NWUTB2jhJ/310x430/1644328970.jpeg?s=843fb21f151799fbe7679a39a3cfbf5028e591b2;SANGATTE, FRANCE;Women;47.2636523312419;405;357.73634766875807;88.6856756756756;83.6856756756756;
Blazer rouge ;5.0;NIKE;ROUGE;17;https://www.vinted.fr/items/3656728415-blazer-rouge?referrer=catalog;https://images1.vinted.net/t/03_008ef_mm2PXArwxtXVTCW8ydUp6aQj/310x430/1698134320.jpeg?s=5039bb24cea6d963850b708b675632fe0f268e01;VALENCIENNES, FRANCE;Kid;37.44178774205658;405;367.5582122579434;88.6856756756756;83.6856756756756;
Nike blazer;5.0;NIKE;BLANC, CRÈME;36.5;https://www.vinted.fr/items/1472330679-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_02656_C8cvy2otGBXHnkdfVKx57p3s/310x430/1638110009.jpeg?s=447b264da2757b93e6fa2a2636a128d2a3f5aaa2;MONS-EN-BARŒUL, FRANCE;Women;41.205739672013934;405;363.7942603279861;88.6856756756756;83.6856756756756;
Blazer Nike;5.0;NIKE;NOIR, BLEU;38.0;https://www.vinted.fr/items/2016788091-blazer-nike?referrer=catalog;https://images1.vinted.net/t/02_0070f_RpMVtU8oLAG76nA9ApdmShRL/310x430/1657125232.jpeg?s=ee629b1aa96a43535163ad2c51b5828b127e00a4;GIOIA DEL COLLE, ITALIE;Women;291.06198844825434;405;113.93801155174566;88.6856756756756;83.6856756756756;
Nike blazer ;5.0;NIKE;GRIS, ROSE;36.5;https://www.vinted.fr/items/121417184-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01002_jrgJyegKZH4mufXUgft1Au8K/310x430/1601835054.jpeg?s=b25e27a39f6e8d2b13f65b38526529295ff4a9ed;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;83.6856756756756;
Nike blazer;5.0;NIKE;NOIR;21;https://www.vinted.fr/items/3414036077-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_00c76_SdjoBUx38knaN2pT2juoK4m1/310x430/1693422881.jpeg?s=bfa132914de633033924100cd2518d559f972425;BONCHAMP-LÈS-LAVAL, FRANCE;Kid;48.36098823473259;405;356.6390117652674;88.6856756756756;83.6856756756756;
