Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
0,Dunk low ,1.0,NIKE,"BLANC, BLEU","44,5",https://www.vinted.fr/items/3890663184-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_0186f_nVyJSyued5T5HETphB6NmhFC/310x430/1702821413.jpeg?s=37fa88456929ada99204495b956c9385040414c6,"GIF-SUR-YVETTE, FRANCE",Men,4.698729400689654,405,400.3012705993103,115.88870967741933,114.88870967741933
51,Stikers autocollants Nike Dunk low Off-White et Air Jordan 1 adolescents divertissement ,3.5,NIKE,MULTICOLORE,Taille non spécifiée,https://www.vinted.fr/items/3832550323-stikers-autocollants-nike-dunk-low-off-white-et-air-jordan-1-adolescents-divertissement?referrer=catalog,https://images1.vinted.net/t/02_003d4_6uf2Pfz6Egv9DABQua6R922Y/310x430/1701440173.jpeg?s=04f370d6fa27b67163dd1bc7027facf93a66ade1,FRANCE,Kid,50.58615778249138,405,354.4138422175086,115.88870967741933,112.38870967741933
49,dunk low,5.0,NIKE,"BLANC, ROUGE",36.5,https://www.vinted.fr/items/3775343147-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_01d04_8P1JeNMQsjqVbdXzYUrjfVjq/310x430/1700312218.jpeg?s=99d344e6c14c1d0aa9d0a21799838c6c9ab30864,"BUSIGNY, FRANCE",Women,30.815127724342133,405,374.1848722756579,115.88870967741933,110.88870967741933
32,Nike dunk,9.0,NIKE,"NOIR, BLANC",24,https://www.vinted.fr/items/3798792190-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_01adb_QX91JnAe3KSL3HX3nVtVeAmH/310x430/1700742235.jpeg?s=984e4704ffd3921d59fdf97a7fdfca1456a3b705,"ÉPINAY-SUR-SEINE, FRANCE",Kid,2.203805046788619,405,402.7961949532114,115.88870967741933,106.88870967741933
18,Nike dunk bambino/a,10.0,NIKE,"NOIR, BLANC",28,https://www.vinted.fr/items/3884037167-nike-dunk-bambinoa?referrer=catalog,https://images1.vinted.net/t/02_00e82_hYs9ZuocyqrxVyPCnJpV1a7z/310x430/1702633357.jpeg?s=81510eb76631a6f7cead237ff0cea6ff849c167b,"TORINO, ITALIE",Kid,116.90438665758748,405,288.09561334241255,115.88870967741933,105.88870967741933
767,Basket Nike dunk,10.0,NIKE,NOIR,40,https://www.vinted.fr/items/1365409873-basket-nike-dunk?referrer=catalog,https://images1.vinted.net/t/03_0108c_V1BRpjchFKy7T3hk1KTJHZn7/310x430/1633881966.jpeg?s=adee0e70005518426e8ce0d09e9bc3a34d1e8203,"REIMS, FRANCE",Women,26.12403960499953,405,378.87596039500045,115.88870967741933,105.88870967741933
949,Nike dunk ,11.0,NIKE,GRIS,42,https://www.vinted.fr/items/3881865910-nike-dunk?referrer=catalog,https://images1.vinted.net/t/02_01869_3tPWbNVrHCYKUu8HSuMuyc4a/310x430/1702560808.jpeg?s=ecfaa0c7ccf75aa6adb638fa4abd100b950b3871,"ROMA, ITALIE",Women,221.3258796064532,405,183.6741203935468,115.88870967741933,104.88870967741933
71,Nike dunk ,11.0,NIKE,GRIS,42,https://www.vinted.fr/items/3881865910-nike-dunk?referrer=catalog,https://images1.vinted.net/t/02_01869_3tPWbNVrHCYKUu8HSuMuyc4a/310x430/1702560808.jpeg?s=ecfaa0c7ccf75aa6adb638fa4abd100b950b3871,"ROMA, ITALIE",Women,221.3258796064532,405,183.6741203935468,115.88870967741933,104.88870967741933
18,Pull zippé Nike crème vintage,14.95,NIKE,"BLANC, CRÈME",XL,https://www.vinted.fr/items/3883078368-pull-zippe-nike-creme-vintage?referrer=catalog,https://images1.vinted.net/t/02_00896_jiEs13JAfUZU1sQZsnPiYauJ/310x430/1702582426.jpeg?s=b1fd3a5dbcece0d2f3e178abd68b8c110e065b65,"HERBÉVILLER, FRANCE",Men,65.11333324446797,405,339.886666755532,115.88870967741933,100.93870967741933
77,Nike dunk,15.0,NIKE,NOIR,24,https://www.vinted.fr/items/3850955343-nike-dunk?referrer=catalog,https://images1.vinted.net/t/03_0072d_ctpgWjSwrycmsxBBfedwPxdv/310x430/1701856164.jpeg?s=75b8f7903c1ee9f7ba36fd642271b0e388e312b4,"CALAIS, FRANCE",Kid,47.16998238241485,405,357.83001761758516,115.88870967741933,100.88870967741933
30,Basket dunk enfant ,15.0,NIKE,"NOIR, BLANC",25,https://www.vinted.fr/items/3878637963-basket-dunk-enfant?referrer=catalog,https://images1.vinted.net/t/02_010b8_KjqqR5peATYiD6WSdwc3LhN6/310x430/1702474919.jpeg?s=eec00d22f3c96418275bfce8fe5782af399286d0,"GRASSE, FRANCE",Kid,135.30028994408016,405,269.6997100559198,115.88870967741933,100.88870967741933
40,Basket Nike dunk low bébé ,15.0,NIKE,GRIS,18,https://www.vinted.fr/items/3861699842-basket-nike-dunk-low-bebe?referrer=catalog,https://images1.vinted.net/t/01_01e46_1uXRm3Hog5Na3Ks7wVxbNbHD/310x430/1702118152.jpeg?s=135cd37723325564177f562466e1e468fb555fe7,FRANCE,Kid,50.58615778249138,405,354.4138422175086,115.88870967741933,100.88870967741933
1,Nike dunk low medium curry,15.0,NIKE,"BEIGE, MARRON",42,https://www.vinted.fr/items/3891813762-nike-dunk-low-medium-curry?referrer=catalog,https://images1.vinted.net/t/03_02165_aQWPKUppUszm2AX9Y1ZNcMKV/310x430/1702837000.jpeg?s=d946317f45fe02fa840336ea32189c418f216135,"LA RONDE, FRANCE",Men,74.07288771330805,405,330.92711228669197,115.88870967741933,100.88870967741933
125,Nike dunk,15.0,NIKE,BLANC,44,https://www.vinted.fr/items/3850854109-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_018e3_x3iNahhdbbPc3znCugAhApyP/310x430/1701854486.jpeg?s=be539c1d95cf47b278553a781a59e202129511cf,"RAMBERVILLERS, FRANCE",Men,64.1914998955019,405,340.8085001044981,115.88870967741933,100.88870967741933
115,Nike Dunk compensé,15.0,NIKE,"BLEU, BLANC",39,https://www.vinted.fr/items/3321511064-nike-dunk-compense?referrer=catalog,https://images1.vinted.net/t/01_00670_JHYKE9S1KnQBG3yAkzfgJ741/310x430/1691338059.jpeg?s=4186d7d1ae8dc9ed0992b3a1aa5c9f2f2d13b888,FRANCE,Women,50.58615778249138,405,354.4138422175086,115.88870967741933,100.88870967741933
70,Basket NIKE ,15.0,NIKE,"NOIR, BLANC",23,https://www.vinted.fr/items/3877187577-basket-nike?referrer=catalog,https://images1.vinted.net/t/01_024b4_1J8XrbTcUjQwjBDWFHpjimJL/310x430/1702421722.jpeg?s=3fc717dbe065d3caead3453b5bd2439a877e1b56,"SURVILLIERS, FRANCE",Kid,6.144652145402888,405,398.8553478545971,115.88870967741933,100.88870967741933
0,Nike dunk bébé grise taille 25 ,15.0,NIKE,GRIS,25,https://www.vinted.fr/items/3888601040-nike-dunk-bebe-grise-taille-25?referrer=catalog,https://images1.vinted.net/t/01_015e7_CeyX15woowk9EaWaXGTuVppp/310x430/1702752349.jpeg?s=9e6397d88bfff52a1b1944b43dd7965d884517e6,"SAINT-AVOLD, FRANCE",Kid,63.98590005233265,405,341.0140999476673,115.88870967741933,100.88870967741933
83,# Nike # vintage # ,15.0,NIKE,MARINE,M,https://www.vinted.fr/items/3205640432-nike-vintage,https://images1.vinted.net/t/01_00ca0_xMJ3oiCjJN5dyvZgqxtoRu5S/310x430/1688465267.jpeg?s=1e3bae27b29c2fe227e8c44d0fbb279a242a6bec,"ORDIZIA, ESPAGNE",Kid,146.82367908886303,405,258.17632091113694,115.88870967741933,100.88870967741933
123,"Rode Nike dunks high. Maat 37,5",17.5,NIKE,"NOIR, ROUGE",Autre,https://www.vinted.fr/items/3890649323-rode-nike-dunks-high-maat-375?referrer=catalog,https://images1.vinted.net/t/01_01804_xFGEpxr3fvm9ZF2m8mT7bvxa/310x430/1702821242.jpeg?s=45170a55244aa108e9116e7324836a9dbe5bf8e5,"SPIJKENISSE, PAYS-BAS",Men,72.21507907444378,405,332.7849209255562,115.88870967741933,98.38870967741933
89,Dunk low bébé bleu et noir ,18.0,NIKE,"NOIR, BLEU",23,https://www.vinted.fr/items/3855599701-dunk-low-bebe-bleu-et-noir?referrer=catalog,https://images1.vinted.net/t/01_00a66_7S2bX6pjNKusQsRxBvajCFg1/310x430/1701956593.jpeg?s=0aaf4cb7555e3421309178e75f377159a8255117,"COURCOURONNES, FRANCE",Kid,5.27888477541794,405,399.72111522458204,115.88870967741933,97.88870967741933
242,Dunk Sky nike ,19.0,NIKE,"NOIR, BLANC",39,https://www.vinted.fr/items/3638550660-dunk-sky-nike?referrer=catalog,https://images1.vinted.net/t/01_019b3_nUVoHojX57tobChfbh6ByTXa/310x430/1697830333.jpeg?s=ad22fc90ad2e4785af565e196681dcda883a2dfa,"LA QUEUE-EN-BRIE, FRANCE",Women,3.5877514179288634,405,401.41224858207113,115.88870967741933,96.88870967741933
