Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
Nike schoenen,5.0,NIKE,"GRIS, ROSE",36,https://www.vinted.fr/items/487316313-nike-schoenen?referrer=catalog,https://images1.vinted.net/t/01_018a6_YouAt8aCBTFRiyKYHPVEwFDD/310x430/1600911345.jpeg?s=8e709f6e12b044eeab180a4eb930f1da7426a0ac,"SINT-OEDENRODE, PAYS-BAS",Kid,74.81311143277246,405,330.1868885672275,148.59444444444443,143.59444444444443
Nike star runner lichtblauw maat 26,5.0,NIKE,BLEU CLAIR,26,https://www.vinted.fr/items/3759104432-nike-star-runner-lichtblauw-maat-26?referrer=catalog,https://images1.vinted.net/t/02_00b26_5A5aoVELMvkRLSBYdg7WNfPx/310x430/1699970268.jpeg?s=24506faf74338aebd2a6da630abee13bd3b14362,"APELDOORN, PAYS-BAS",Kid,89.64734277385529,405,315.35265722614474,148.59444444444443,143.59444444444443
Zwarte Nike - maat 38,5.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3660145888-zwarte-nike-maat-38?referrer=catalog,https://images1.vinted.net/t/02_007b4_UkQoacaMmkR7THmcwDRfLNVu/310x430/1698170977.jpeg?s=9e3f56ce7b348b5cede981ad457083c90282c886,"HAMME, BELGIQUE",Women,55.744252903400685,405,349.2557470965993,148.59444444444443,143.59444444444443
Nike air Max maat 21,5.0,NIKE,"BLANC, VIOLET",21,https://www.vinted.fr/items/3030702278-nike-air-max-maat-21?referrer=catalog,https://images1.vinted.net/t/03_00d4f_ry6CtrXX3y6PWP6PkZAYtb44/310x430/1684327629.jpeg?s=0b6529edbf714d658ac175d17127ba47fdc5ba41,PAYS-BAS,Kid,87.92875933655216,405,317.07124066344784,148.59444444444443,143.59444444444443
Leuke gympen,5.0,NIKE,"GRIS, MULTICOLORE",38,https://www.vinted.fr/items/2646578334-leuke-gympen?referrer=catalog,https://images1.vinted.net/t/03_00351_JdzuqXb5QCEPEtj6K2TeAkPV/310x430/1675196273.jpeg?s=df244726d4bdeacf7cf03b3b17b78f63110ea08e,"ROTTERDAM, PAYS-BAS",Kid,74.63848655894739,405,330.3615134410526,148.59444444444443,143.59444444444443
Nike court,5.0,NIKE,"GRIS, TURQUOISE",40.5,https://www.vinted.fr/items/3629058158-nike-court?referrer=catalog,https://images1.vinted.net/t/03_01ad7_ZjvZkQRtCdmAm14EdfSva77f/310x430/1697648838.jpeg?s=0572157f5b720cf10dbf4bf0d5dcb3a523c99168,"HEUSDEN-ZOLDER, BELGIQUE",Women,63.89749370543086,405,341.10250629456914,148.59444444444443,143.59444444444443
Nike schoenen ,5.25,NIKE,"NOIR, BLANC",43,https://www.vinted.fr/items/3257817602-nike-schoenen?referrer=catalog,https://images1.vinted.net/t/03_003a7_Ye5V7uvcc8YhGrqRCSGXCUrs/310x430/1689788082.jpeg?s=68cb7844e10a8114adef526cf3d5b2048aec4d8d,PAYS-BAS,Women,87.92875933655216,405,317.07124066344784,148.59444444444443,143.34444444444443
Handige Nike slippers met klittenband maat 36,5.95,NIKE,"BLEU, VERT",36,https://www.vinted.fr/items/3861100337-handige-nike-slippers-met-klittenband-maat-36?referrer=catalog,https://images1.vinted.net/t/03_013a4_z2Fyyqda6CVpMZNMUeWubMeS/310x430/1702104801.jpeg?s=55e3c7135d8441e1487dffbfbde8b4913c1214de,"SPAARNDAM, PAYS-BAS",Kid,85.7004700094581,405,319.2995299905419,148.59444444444443,142.64444444444445
Zaalvoetbal schoenen Nike ,6.5,NIKE,"NOIR, GRIS",38,https://www.vinted.fr/items/2341828649-zaalvoetbal-schoenen-nike?referrer=catalog,https://images1.vinted.net/t/02_00e22_WRnTK3cSEmviYQr4qQsp2JEN/310x430/1666535590.jpeg?s=8ec59cfccd68e90197bbd2eaf66c5f77e465146c,"LOENEN, PAYS-BAS",Kid,89.25587175944601,405,315.744128240554,148.59444444444443,142.09444444444443
Rode sneakers van Nike,6.5,NIKE,"ROUGE, BORDEAUX",38,https://www.vinted.fr/items/2544970010-rode-sneakers-van-nike?referrer=catalog,https://images1.vinted.net/t/02_0261b_EFr52LGqMQiczcBT12zbGrW2/310x430/1672416574.jpeg?s=31d6c87dd0dcd10b8a40757eb45ce23c71390c1b,"TORHOUT, BELGIQUE",Women,50.285344649585674,405,354.7146553504143,148.59444444444443,142.09444444444443
