Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike air force 1 ,30.8,NIKE,"BLANC, VERT",39,https://www.vinted.fr/items/3567224229-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_00853_4G8xWkubnCr1deuapMrRaVXS/310x430/1696523748.jpeg?s=88bef3cc51d64d34c75a030660255adb61a8ba30,"LYON, FRANCE",Kid
Air force 1 ,10.0,NIKE,ROUGE,23,https://www.vinted.fr/items/3863106013-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_0204e_vU2TWFHH4zpdio9FgbzbYzWq/310x430/1702133868.jpeg?s=92c3251bd24f0d48b20fce26aafac267fbfa8ef8,FRANCE,Kid
Baskets bébé Nike Air Force 1 taille 18,23.0,NIKE,BLANC,18,https://www.vinted.fr/items/3689480737-baskets-bebe-nike-air-force-1-taille-18?referrer=catalog,https://images1.vinted.net/t/01_0191f_LAXJvQvj6RWnUaXzq1ShWSDF/310x430/1698706740.jpeg?s=a5dc0fee0cb0523632f10ab91072acfc24400070,FRANCE,Kid
Air force ,15.0,NIKE,BLANC,Jusqu'à 1 mois / 50 cm,https://www.vinted.fr/items/3860844023-air-force?referrer=catalog,https://images1.vinted.net/t/03_00df7_xiWG3gxMpha2zD7oY5k2Fokv/310x430/1702073669.jpeg?s=95a5c0c1dc9104138666e3c343ad01ac3ea1b6d3,"LE MANS, FRANCE",Kid
Air force 1,6.0,NIKE,"NOIR, BLANC",22,https://www.vinted.fr/items/3573625925-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_02348_iYtALgyuiDaL6Uj8b3cxLVpP/310x430/1696675088.jpeg?s=2ee98119ad0daa4f64fabf5aa3db257be4999a3b,"MONTPELLIER, FRANCE",Kid
Nike air force 1,15.0,NIKE,BLANC,22,https://www.vinted.fr/items/3878302635-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_00762_4r9hEiFKpmAqqxF6NqC1BbA4/310x430/1702470053.jpeg?s=9b6d77411cc5ba62a8867b2cf6de9515871d1cf0,ESPAGNE,Kid
Air force 1 ,25.0,NIKE,ORANGE,27,https://www.vinted.fr/items/3868926633-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_00e0e_8W7CjnY8LME91bhAJDePYJDj/310x430/1702233983.jpeg?s=8b311f6d18eeec61ccdff871bc17ec233d0ff8f0,FRANCE,Kid
Nike air force 1 ,7.0,NIKE,BLANC,21,https://www.vinted.fr/items/3768261182-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_02537_S3XJMpUqXbssMuU2wWuvCE36/310x430/1700150052.jpeg?s=fe9db2bcf4cedba6720ffd979d7c58ac333141f8,"URCUIT, FRANCE",Kid
Air Force 1 Highness taille 19.5,35.0,NIKE,"LILA, DORÉ",19,https://www.vinted.fr/items/3743392352-air-force-1-highness-taille-195,https://images1.vinted.net/t/02_01c81_PiY8oSkDoUpPu7TeaeijC1Xs/310x430/1699711856.jpeg?s=b18b30a27ace4b8b39849dbc5c30413a33918bea,FRANCE,Kid
Nike air force 1 baby pointure 22 ,15.0,NIKE,BLANC,22,https://www.vinted.fr/items/3868243089-nike-air-force-1-baby-pointure-22?referrer=catalog,https://images1.vinted.net/t/03_0262e_nFC3q7Kjz1SkCP1o623d4i4q/310x430/1702226983.jpeg?s=adda9fe8b8702ae4cfb23965c95e6f2bfca22bff,"PESSAC, FRANCE",Kid
Air force 1 Nike pour bebe,15.0,NIKE,BLANC,17,https://www.vinted.fr/items/3872460356-air-force-1-nike-pour-bebe?referrer=catalog,https://images1.vinted.net/t/03_01578_2okKWRFzNhi7bYfz5gbkpDe3/310x430/1702473139.jpeg?s=fe54d6d9e780657ad17b48b71fec05cc81c9b08c,"MONTREUIL, FRANCE",Kid
Basket Nike Air force 1 noire,12.0,NIKE,NOIR,22,https://www.vinted.fr/items/3871152759-basket-nike-air-force-1-noire?referrer=catalog,https://images1.vinted.net/t/02_00dd0_8Yj34s1gBxbeCME5xUofUseb/310x430/1702297255.jpeg?s=aa7bbf360746176e74b9d63adcd13c9ea7886b88,"SAINT-PIERRE-DU-PERRAY, FRANCE",Kid
