Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Air force 1,25.0,NIKE,NOIR,44,https://www.vinted.fr/items/3832363233-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_01c6e_SYGW7LxzgjTMaauaofTAd9vi/310x430/1701437565.jpeg?s=5b0e2ea9da064d2d3f573758a83bf03e3c27624f,FRANCE,Women
Nike Air Force 1,9.0,NIKE,BLANC,"38,5",https://www.vinted.fr/items/3850051271-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_02311_bcKpTshhRctP5BvmaktWV8nu/310x430/1701809168.jpeg?s=a6870fc29b81f91b0a9e363f73da8c8fa1e23aef,"MADRID, ESPAGNE",Women
Nike AIR Force 1 ,46.0,NIKE,NOIR,43,https://www.vinted.fr/items/3882316593-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_02701_SXDAUzVhUmgANcw7UKQfdVGj/310x430/1702568272.jpeg?s=007452f203940e53f87787b741850be21122ddd5,"ROUEN, FRANCE",Women
Air force 1 white,45.0,NIKE,BLANC,42,https://www.vinted.fr/items/3882379404-air-force-1-white?referrer=catalog,https://images1.vinted.net/t/01_00e41_icqCaUTSUgT2SCNM52hJnAib/310x430/1702569420.jpeg?s=45f31d1a1d117c49c44d83b64837f3a0eee42588,"PISTOIA, ITALIE",Women
Nike Air Force 1,25.0,NIKE,"GRIS, BLANC",43,https://www.vinted.fr/items/3745924511-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_00fd2_8BxiRrhSN6NDEFsLvSFnqUYQ/310x430/1699742114.jpeg?s=4dfca4119df4798e65e087c5f7dfeaf0070e70d4,"GALLIERA VENETA, ITALIE",Women
Nike Air Force 1 noire 38,20.0,NIKE,NOIR,38,https://www.vinted.fr/items/3877131614-nike-air-force-1-noire-38?referrer=catalog,https://images1.vinted.net/t/02_0249b_8ciyL6nnjqyuNXF1Gd359h7p/310x430/1702419725.jpeg?s=6beea13571522ad65affc8f85144854c5ec43169,"BÉZU-SAINT-ÉLOI, FRANCE",Women
Chaussures Nike Air force 1 ultraforce ,20.0,NIKE,NOIR,42,https://www.vinted.fr/items/3873575130-chaussures-nike-air-force-1-ultraforce?referrer=catalog,https://images1.vinted.net/t/02_00193_nZKoCc3KdKKkS6pt6HfFF1kA/310x430/1702331189.jpeg?s=8105bc016a428df683aa23b329ca69cf7496f9a5,"LAJOUX, FRANCE",Women
Air force 1,25.0,NIKE,BLANC,40,https://www.vinted.fr/items/3776839648-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_010cd_vEoNqmoDHX5jrNkTZNrViKAR/310x430/1700325917.jpeg?s=1f02b5ebec290810ee141d2023110f466acf6ec0,"METZ, FRANCE",Women
Nike air force 1 low cut out swoosh grey taille 42,49.99,NIKE,"NOIR, GRIS",42,https://www.vinted.fr/items/3776737507-nike-air-force-1-low-cut-out-swoosh-grey-taille-42,https://images1.vinted.net/t/02_00a68_fCDpjTWJWMtYqgkQPHXUBuUz/310x430/1700324846.jpeg?s=6d0c75c17ffde7b3614c819d27c91733d5c36576,FRANCE,Women
Air force 1,40.0,NIKE,GRIS,47,https://www.vinted.fr/items/3869406206-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_00be5_B4N9pupHLgqS5WNWCCXKDcEK/310x430/1702239462.jpeg?s=18841b2703ed5358193cc9aaa6e7d5681268ffdf,ITALIE,Women
