Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike Air Max 1 TD maat 25,20.0,NIKE,"GRIS, ROSE",25,https://www.vinted.fr/items/3879168745-nike-air-max-1-td-maat-25?referrer=catalog,https://images1.vinted.net/t/02_01b0b_9T7mMpitA7n6iqTq4Rz1tgXD/310x430/1702482522.jpeg?s=f8e7b65360be99c8a1666969e8e2f56cdff3cbc7,PAYS-BAS,Kid
Basket air max 1 ,8.0,NIKE,"BLANC, ROSE",29,https://www.vinted.fr/items/3839735280-basket-air-max-1?referrer=catalog,https://images1.vinted.net/t/03_00008_kVVmSUMYV52cbTrS2F9VUSUa/310x430/1701607859.jpeg?s=dbb10eddd5e6533c7b2aeaf1de905a9baba48b2e,"ROCHE-LA-MOLIÈRE, FRANCE",Kid
Nike air max 27,25.0,NIKE,BLANC,27,https://www.vinted.fr/items/3881059153-nike-air-max-27?referrer=catalog,https://images1.vinted.net/t/03_017d1_CAQo45dGLVMJUHueykBkBn9e/310x430/1702547088.jpeg?s=c6e7249fabc1c192a9f24edaead8455bd105c0de,"SAINT-VENANT, FRANCE",Kid
Basket Nike air max plus Tuned 1 black neuves taille 23.5,28.0,NIKE,NOIR,23,https://www.vinted.fr/items/3781348723-basket-nike-air-max-plus-tuned-1-black-neuves-taille-235?referrer=catalog,https://images1.vinted.net/t/03_01087_eS36Gp66Zt6uVKAKxsbgksBT/310x430/1700404723.jpeg?s=2f5f87aba43e5208ebd4c57e8b55c3eda65011ca,"NÎMES, FRANCE",Kid
Air max,15.0,NIKE,"GRIS, BLANC",25,https://www.vinted.fr/items/3907447187-air-max?referrer=catalog,https://images1.vinted.net/t/01_020f0_sNd95jikHEmvayN2bQ7nvCzZ/310x430/1703526830.jpeg?s=0a3c14661f058b176822b38fcea94c80d187d930,FRANCE,Kid
 Baskets nike Air force 1 ,50.0,NIKE,"BLANC, ROSE",33,https://www.vinted.fr/items/3862002566-baskets-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_018f1_N8F3xV8MvSoSSoTUo3g721N3/310x430/1702378517.jpeg?s=b280301363020c49cefc4433b9c4460fd823f318,"GRENOBLE, FRANCE",Kid
Sapatilhas Nike Air Max tamanho 23 1/2,8.0,NIKE,"GRIS, ROSE",23,https://www.vinted.fr/items/2987733294-sapatilhas-nike-air-max-tamanho-23-12?referrer=catalog,https://images1.vinted.net/t/02_011ef_4kBjaDBzzWTEDUzWpWAfxhnq/310x430/1683397891.jpeg?s=9d2f4c6f22ac563185166a1af653233b77cccd34,"LOBÃO, PORTUGAL",Kid
Basket air max pointure 35,10.0,NIKE,"GRIS, ROSE",35,https://www.vinted.fr/items/3887569159-basket-air-max-pointure-35?referrer=catalog,https://images1.vinted.net/t/01_013b6_dBj48xS1veK3pznLYSnZwDna/310x430/1702734303.jpeg?s=f5e0c0c30fe05ff6333541e7bc7fa37d3f6ec841,FRANCE,Kid
Air max taille 21,28.0,NIKE,"BLANC, ROSE",21,https://www.vinted.fr/items/3758852403-air-max-taille-21?referrer=catalog,https://images1.vinted.net/t/01_008b1_xxHxfyhRvi3XNoza3CrCMa1a/310x430/1699967483.jpeg?s=200fc5d593be79667e27e8bfb01fafbc25ea2915,FRANCE,Kid
Nike air max 1 td maat 22,70.0,NIKE,"BLANC, ROUGE",22,https://www.vinted.fr/items/3775107287-nike-air-max-1-td-maat-22?referrer=catalog,https://images1.vinted.net/t/03_00f20_mRDvfQqmifMMPSfGnwHi62rd/310x430/1700309986.jpeg?s=cae8459bcc78b53da155e07b30b1963f6d763eda,"MEPPEL, PAYS-BAS",Kid
Air max 90 rose ,40.0,NIKE,"ROSE, ROSE",36,https://www.vinted.fr/items/3857625674-air-max-90-rose?referrer=catalog,https://images1.vinted.net/t/03_0107c_vJdU7wJBgseiwJ7dJAW8FoXQ/310x430/1702000231.jpeg?s=5a9f4c82d7196c91a83656d295811f6b65e94802,"LA LOUVIÈRE, BELGIQUE",Kid
Nike Air max 1,50.0,NIKE,"BLANC, ROSE",26,https://www.vinted.fr/items/3914647495-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/01_01729_Tcv9MnjKu7N3FeKR6LKtsCa5/310x430/1703767794.jpeg?s=9d67f58408983167362cb0cf26c132a75e30085f,PAYS-BAS,Kid
