Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike air max ,49.0,NIKE,"NOIR, GRIS",38.5,https://www.vinted.fr/items/3839052451-nike-air-max?referrer=catalog,https://images1.vinted.net/t/01_000a1_5YNP536MHce8ZATYsrJyigiV/310x430/1701601145.jpeg?s=d2ee3dd813d60a0fd565d2d346760870bb221522,"NIEUWKOOP, PAYS-BAS",Women
Nike air max 1,25.0,NIKE,"BLANC, MARINE",36.5,https://www.vinted.fr/items/3817987665-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/03_0205c_vvkQfQSmzVq5GFg1MqVGMjyK/310x430/1701107246.jpeg?s=8d85cddc862c3019098fa8a69bda87822dc6f8d7,FRANCE,Women
Air Max 1 ,50.0,NIKE,"BLANC, JAUNE",38,https://www.vinted.fr/items/3831072468-air-max-1?referrer=catalog,https://images1.vinted.net/t/01_023da_oqeYbKZARMC48pAddYAidCzj/310x430/1701412966.jpeg?s=31e38bc2a1ef0b7ef01443ac74fc7212b0f2a7a4,"CHÂTEAU-THIERRY, FRANCE",Women
Nike air Max 1,50.0,NIKE,"BLANC, ROUGE",38.5,https://www.vinted.fr/items/3847225041-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/02_011b9_iTZ5W6oEi1hPu32Jzoonq6Zd/310x430/1701766500.jpeg?s=a76ae8fb2c2a95f5a95d0d38e5315031cb970fce,"PARIS, FRANCE",Women
Basket nike air max ,25.0,NIKE,NOIR,38.5,https://www.vinted.fr/items/3872678741-basket-nike-air-max?referrer=catalog,https://images1.vinted.net/t/02_011a1_xFMET8vDxDtLWQcojaKTVaM7/310x430/1702318168.jpeg?s=c9f36d921b193635985aff166f52f3e5a618d1dd,FRANCE,Women
Nike air max 1 Bordeaux / prune  ,45.0,NIKE,VIOLET,38,https://www.vinted.fr/items/3891748255-nike-air-max-1-bordeaux-prune?referrer=catalog,https://images1.vinted.net/t/02_00d53_gxFSoZCyMMz6FDF7QqvBbeFN/310x430/1702836020.jpeg?s=046876c26652fe6b4c17eb51f50ccb7b83a3a634,"TOURS, FRANCE",Women
baske nike air max invigor,35.0,NIKE,NOIR,38,https://www.vinted.fr/items/3903975339-baske-nike-air-max-invigor?referrer=catalog,https://images1.vinted.net/t/02_00340_jjiYc3sBYB3Ghu4MtYN3UwKf/310x430/1703757740.jpeg?s=d6daaec9424798329cf533635cc7771be0f41fc8,"ONNAING, FRANCE",Women
Nike air Max 1 ,65.0,NIKE,"BLANC, VIOLET",38,https://www.vinted.fr/items/3824309182-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/02_0193d_31jo1ZtUdr1BznoXKj7i6qhZ/310x430/1701256664.jpeg?s=e09f50ac72b0dd1713c8c1de8566526cd9457868,FRANCE,Women
Nike Dunk Low Retro « Yellow Strike » 2021 pointure 39,95.0,NIKE,"BLANC, JAUNE",39,https://www.vinted.fr/items/3375251540-nike-dunk-low-retro-yellow-strike-2021-pointure-39,https://images1.vinted.net/t/03_01a8d_EMJM2MxEibcGqQYZHNrYiaWn/310x430/1692629639.jpeg?s=a41ed66eaf15cd9cbc3e1a93d19728cfa5605bab,"CYSOING, FRANCE",Women
air max 720 neuves ,65.0,NIKE,"BLANC, ORANGE",40.5,https://www.vinted.fr/items/3919060523-air-max-720-neuves?referrer=catalog,https://images1.vinted.net/t/03_008e6_BCXZCd3paNFFbPRBuXf7n51D/310x430/1703866511.jpeg?s=04a4bccb7cd3c07581ec1c8b1e239bd84f833e51,"FROMELLES, FRANCE",Women
air max 1,74.0,NIKE,"GRIS, ORANGE",36.5,https://www.vinted.fr/items/3817715087-air-max-1?referrer=catalog,https://images1.vinted.net/t/02_01553_SwjBeXzWiEbT1Wj7zdwqqcnb/310x430/1701103924.jpeg?s=5b1ce2e52333f1bd0bafc515e027ff5345815295,FRANCE,Women
