Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Baskets Air Max T42,35.0,NIKE,"NOIR, BLANC",42,https://www.vinted.fr/items/3918986877-baskets-air-max-t42?referrer=catalog,https://images1.vinted.net/t/02_00b9e_qFNveQS5Ha2fGvkAvntHFGJe/310x430/1703865478.jpeg?s=3f414240cfbffd26fd903b17f19f22caf045c82a,"BRESSE VALLONS, FRANCE",Men
Air max 1,30.0,NIKE,VERT,44,https://www.vinted.fr/items/3683530690-air-max-1?referrer=catalog,https://images1.vinted.net/t/03_00313_a9H5shJFhKvSp5Bzby5XPuq2/310x430/1698600263.jpeg?s=f59b963d06bfc7ad30ed8a65be3a39e88a73f9ec,"COURLAY, FRANCE",Men
Air Max One Trainers Mide,49.0,NIKE,"GRIS, BLANC","40,5",https://www.vinted.fr/items/3919014448-air-max-one-trainers-mide?referrer=catalog,https://images1.vinted.net/t/02_01222_JxqKJkLy5XS6fKgHL4Hc3hLY/310x430/1703865862.jpeg?s=57c8d95ee921b6dfe1d5e517da8fbd31b3994e4e,"LUTILHOUS, FRANCE",Men
"Obra ""Nike AIR Max _ 1/97 """,8.0,NIKE,"BLANC, MULTICOLORE",44,https://www.vinted.fr/items/3905942860-obra-nike-air-max-197?referrer=catalog,https://images1.vinted.net/t/01_014c3_yKAPeDDp5P7vbYjzkpDffHDx/310x430/1703423548.jpeg?s=19f52a368d6537cd018c129bad68dc21dc8b254c,ESPAGNE,Men
"Air Max 1 pale Ivory taille 42,5 ",100.0,NIKE,"GRIS, BEIGE","42,5",https://www.vinted.fr/items/3877055734-air-max-1-pale-ivory-taille-425?referrer=catalog,https://images1.vinted.net/t/01_00354_yat8AvU7Wqh5RiwWHYYtBQHR/310x430/1702417770.jpeg?s=56721a1a3a4bcb6fdfd2e67a2c583008b101e1cc,"ARNOUVILLE, FRANCE",Men
Pulseira nike air max 1,12.0,NIKE,ARGENTÉ,45,https://www.vinted.fr/items/3911287990-pulseira-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/01_01eca_Lhy2rhHDAqC5s3nehHPWo7CQ/310x430/1703680178.jpeg?s=73bfbcf94c0883b8dc8758feb69762221f568c37,"AMORA, PORTUGAL",Men
Nike Air Max 1 ,110.0,NIKE,"GRIS, BLEU",39,https://www.vinted.fr/items/3832869494-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/01_0262e_4KtHnxiYwjkE63ec6bnuVBxA/310x430/1701444828.jpeg?s=87d8295f3083b7f59301942a2834dd4850319416,"CALAMONTE, ESPAGNE",Men
Air Max Plus ,60.0,NIKE,BLEU,41,https://www.vinted.fr/items/3918904630-air-max-plus?referrer=catalog,https://images1.vinted.net/t/03_0070e_KaGoNA7qSxSxZxyYopKxrPLH/310x430/1703864373.jpeg?s=b5f5bc05deeafc000a3b8686652c0788471b16ba,"ÉPINAL, FRANCE",Men
Nike Air Max 1 Patta Waves Monarch,200.0,NIKE,"GRIS, MARRON",43,https://www.vinted.fr/items/3695416677-nike-air-max-1-patta-waves-monarch,https://images1.vinted.net/t/02_01f76_NX6S8ZMJ7KTJ9nY5VRCk1jsG/310x430/1698846484.jpeg?s=0055c9248e2bc2e571a7c68578a8d29b86a88e6b,"FRANCHEVILLE, FRANCE",Men
Nike Air Max 1 Premium Blue ,40.0,NIKE,"BLEU CLAIR, TURQUOISE",42,https://www.vinted.fr/items/3911396630-nike-air-max-1-premium-blue?referrer=catalog,https://images1.vinted.net/t/03_0183f_CmQEKLVxfSWaiEXBefQghJhR/310x430/1703681732.jpeg?s=a558d5672c5c2973409be34dfc3f0b52249d5ef3,"VALENCE, FRANCE",Men
