Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Chaussure Blazer Nike ,10.0,NIKE,BLANC,18,https://www.vinted.fr/items/3878327610-chaussure-blazer-nike?referrer=catalog,https://images1.vinted.net/t/01_022b1_Ae7tE13EpPg21fn3u2mAYcWz/310x430/1702470431.jpeg?s=051bacb09d2d26fda688e1880c8946fe67af6a4d,FRANCE,Kid
Nike blazer 25 ,15.0,NIKE,BLANC,25,https://www.vinted.fr/items/3865323717-nike-blazer-25?referrer=catalog,https://images1.vinted.net/t/03_013fa_e4CBKazmsjVc236sxhvGLRVx/310x430/1702199074.jpeg?s=f11967f7e4ca129a4a7a887ce13f5329b7a10044,FRANCE,Kid
Nike blazer Bébé 17,15.0,NIKE,"BLANC, VERT",17,https://www.vinted.fr/items/3827448678-nike-blazer-bebe-17?referrer=catalog,https://images1.vinted.net/t/01_001a0_443DtADdTtE3pTh2om7VvzEr/310x430/1701326087.jpeg?s=54b76abcfdd0d00eae286657d82c08ec6579213e,"JUILLAN, FRANCE",Kid
Pull enfant Nike ,28.0,NIKE,"NOIR, GRIS",XL,https://www.vinted.fr/items/3860530990-pull-enfant-nike?referrer=catalog,https://images1.vinted.net/t/01_004aa_9jbsB4dhcua2VDfQmEV6Q8gw/310x430/1702066772.jpeg?s=cf442c15e830f9483c303a4bd3e538dfad80c07c,FRANCE,Kid
Nike blazer Mid T38,20.0,NIKE,"BLANC, ROSE",38,https://www.vinted.fr/items/3645479505-nike-blazer-mid-t38?referrer=catalog,https://images1.vinted.net/t/03_00e8f_G2Ek2fFUQj7gyje5Srwip6Ld/310x430/1697967749.jpeg?s=36a3c6fdf3519d07b45c43b33375174a73ef4daa,"EURRE, FRANCE",Kid
Veste Nike ,2.0,NIKE,"NOIR, GRIS",9 ans / 134 cm,https://www.vinted.fr/items/3770348045-veste-nike?referrer=catalog,https://images1.vinted.net/t/01_002f4_EBXjX44p94R7qyaA9bFnVvUA/310x430/1700232541.jpeg?s=1759d826a1e1bdae57e935bb43d51564527cff68,"TOUL, FRANCE",Kid
Zapatillas niño/niña Nike,20.0,NIKE,BEIGE,36,https://www.vinted.fr/items/3869681953-zapatillas-ninonina-nike?referrer=catalog,https://images1.vinted.net/t/02_00978_mZgEvr6k48PgCHhZ5cFgYHGb/310x430/1702243098.jpeg?s=e8189e7f3aff8835196293b8041d60f72d6c5d95,"ZARAGOZA, ESPAGNE",Kid
Baskets blazer low,3.0,NIKE,BLANC,29,https://www.vinted.fr/items/3853744571-baskets-blazer-low?referrer=catalog,https://images1.vinted.net/t/03_00862_ZgCjuxpWQXg2zVpPfHVzs3cv/310x430/1701895670.jpeg?s=4863fd3c8477c4208c9d4b6f2daaca1ad373ac1e,"RAISMES, FRANCE",Kid
Sneakers Nike Blazer numero 24 ,45.0,NIKE,"GRIS, ROSE",24,https://www.vinted.fr/items/3507394386-sneakers-nike-blazer-numero-24,https://images1.vinted.net/t/02_02155_Su6bQMETcj8m6bLERoJ1ZuMZ/310x430/1695395613.jpeg?s=2b07047e2beb3f6f764684abae7c31c49b7717d4,ITALIE,Kid
blazer mixte,15.0,NIKE,"NOIR, BLANC",17,https://www.vinted.fr/items/3872682534-blazer-mixte?referrer=catalog,https://images1.vinted.net/t/02_01b8b_E6Y4tPRVs5YM1SuHYwTQqrUe/310x430/1702318221.jpeg?s=def862c2c4af3532c2b3bbb5a7c17ea692f70a55,FRANCE,Kid
Basket nike 40 blazer low 77 Jumbo,12.0,NIKE,"NOIR, BLANC",40,https://www.vinted.fr/items/3798785288-basket-nike-40-blazer-low-77-jumbo?referrer=catalog,https://images1.vinted.net/t/01_01836_anEoWJpbD5w6U8UMWKnhw8HU/310x430/1700742144.jpeg?s=e1f107b75bb92d35ba41a81545f1c3a8f16cf9ff,"CAMBRAI, FRANCE",Kid
Veste Nike rouge ,3.0,NIKE,ROUGE,12 ans / 152 cm,https://www.vinted.fr/items/3155260497-veste-nike-rouge?referrer=catalog,https://images1.vinted.net/t/02_01b9b_xkmFsgFNy4QgkFkn73erXWJf/310x430/1687199441.jpeg?s=d05bad4272f318d68a68f832b9872bb9a66e9aba,"GONESSE, FRANCE",Kid
Nike blazer,20.0,NIKE,BLANC,21,https://www.vinted.fr/items/3787357514-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_004ec_nsS7M21BxTK4BqwRKqHqWzyL/310x430/1700498939.jpeg?s=159b4c6b996efbb252e4e6e75a0284f4a3eb672c,"COURCELLES-SOUS-MOYENCOURT, FRANCE",Kid
Blazer nike bébé ,15.0,NIKE,"NOIR, BLANC",18,https://www.vinted.fr/items/3880963273-blazer-nike-bebe?referrer=catalog,https://images1.vinted.net/t/02_00ebc_VwDPRo5fzVN133oVvKZG8rpf/310x430/1702545116.jpeg?s=890602416446ccbd0d79ce99f04b049ce48d9625,FRANCE,Kid
Nike blazer montantes violette grise et verte taille 31,20.0,NIKE,"LILA, MENTHE",31,https://www.vinted.fr/items/3844767285-nike-blazer-montantes-violette-grise-et-verte-taille-31?referrer=catalog,https://images1.vinted.net/t/01_0150b_aocgKastfZWWiw7oKDo8Lfyv/310x430/1701699055.jpeg?s=67f5858a78565c84110bef1c4e21ac85880792cd,"ARGENTRÉ-DU-PLESSIS, FRANCE",Kid
Nike blazer ,8.0,NIKE,BLANC,26,https://www.vinted.fr/items/3707170031-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_02012_ppT9C8p7uQrdnfseVjdRLoRb/310x430/1699044312.jpeg?s=e96825a2bcf4a1d5163e2914c271fb983bf6e919,"PARIS, FRANCE",Kid
Blazer rouge ,5.0,NIKE,ROUGE,17,https://www.vinted.fr/items/3656728415-blazer-rouge?referrer=catalog,https://images1.vinted.net/t/03_008ef_mm2PXArwxtXVTCW8ydUp6aQj/310x430/1698134320.jpeg?s=5039bb24cea6d963850b708b675632fe0f268e01,"VALENCIENNES, FRANCE",Kid
Nike blazer bébé pointure 16,15.0,NIKE,NOIR,16,https://www.vinted.fr/items/3859473217-nike-blazer-bebe-pointure-16?referrer=catalog,https://images1.vinted.net/t/01_02270_EjoGCmXXkQZdWGMm7yFcoSHr/310x430/1702048714.jpeg?s=11d34c46f81f79cf5d29dbf528ce9494947769a8,"SAINT-LUMIER-EN-CHAMPAGNE, FRANCE",Kid
Blazers Nike ,20.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3878263149-blazers-nike?referrer=catalog,https://images1.vinted.net/t/03_001c6_utpaA4YbUy6KkXTbKXMwiQrg/310x430/1702469438.jpeg?s=a1d7704567bcf37acea346914697f78ec193ea2d,"VILLANCE, BELGIQUE",Kid
Nike blazer ,20.0,NIKE,NOIR,36,https://www.vinted.fr/items/3880707047-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_002a7_X85M14vqmjfiehFH3UtdU7Cp/310x430/1702533665.jpeg?s=20fecaef707f565b4d3c6d3d0774f6109ae531b6,"PONTE DI PIAVE, ITALIE",Kid
Nike blazer mid ,15.0,NIKE,"NOIR, BLANC",17,https://www.vinted.fr/items/3852709756-nike-blazer-mid?referrer=catalog,https://images1.vinted.net/t/02_00bcb_2HRTg4XksjnojodDFq9nQxec/310x430/1701880086.jpeg?s=2114b89af87af1a914e45869c1b7fe46256aef09,FRANCE,Kid
Blazer nike ,15.0,NIKE,BLANC,17,https://www.vinted.fr/items/3771783498-blazer-nike?referrer=catalog,https://images1.vinted.net/t/01_01432_fyAjFAMb4U5y2rmYE6wJjYbF/310x430/1700231412.jpeg?s=7e4ee54ed073f05de7dde24c15204b98cd198d24,FRANCE,Kid
Veste chaude fille nike 4 ans ,2.0,NIKE,BEIGE,4 ans / 104 cm,https://www.vinted.fr/items/3709073037-veste-chaude-fille-nike-4-ans?referrer=catalog,https://images1.vinted.net/t/01_01b71_ZkUEQPi9ffbPy9GQqYL6p8AL/310x430/1699098863.jpeg?s=636e5433d100dae4c00569b93779be227858b781,"MOURMELON-LE-GRAND, FRANCE",Kid
Nike blazer ,10.0,NIKE,BLANC,23,https://www.vinted.fr/items/3858589067-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_004b2_xx1ZTyZPB3weGRctrrJdJg3H/310x430/1702036378.jpeg?s=5acd8f007f557347b6203d0d3116f2d310fca9b0,"HOLTZHEIM, FRANCE",Kid
Blazer bébé ,8.0,NIKE,BLANC,22,https://www.vinted.fr/items/3799100590-blazer-bebe?referrer=catalog,https://images1.vinted.net/t/03_007ce_7J4TrsaXUwad2yqH5UGkb8aR/310x430/1700746104.jpeg?s=e71dca027451168828dcc22d9d2c9948e3c6a2cf,"FONTENAY, FRANCE",Kid
Nike blazer ,14.0,NIKE,"NOIR, ROUGE",32,https://www.vinted.fr/items/3356601812-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00d98_7oYwpAd1xVhzvj3hRB3tZyZ7/310x430/1692183759.jpeg?s=19cabc5ed39ba1a8edb507bafb3f0f3a8e968467,"VALENCIENNES, FRANCE",Kid
Nike Blazer 28,20.0,NIKE,"NOIR, BLANC",28,https://www.vinted.fr/items/3878742275-nike-blazer-28?referrer=catalog,https://images1.vinted.net/t/02_02128_PrbjWWkvATaQFdqbqpvg2coV/310x430/1702476366.jpeg?s=d013f65411511bbe6412567feab9aed7925f54ff,"HEPPEN, BELGIQUE",Kid
Nike blazer ,10.0,NIKE,"BLANC, ROSE",20,https://www.vinted.fr/items/3710184188-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_01b80_eZatXfa18M1i1Z4FCd2aWNDm/310x430/1699107598.jpeg?s=dd56d75d2a33a99f974fe0c2d2e0fec9b5f21cd6,"TOULOUSE, FRANCE",Kid
