Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike blazer ,18.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3876910512-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_01ead_Qq9rWDqEkPBWPhH2TRn21LJT/310x430/1702414884.jpeg?s=ff12169f9cecff27161cb6da80ba070250ecbaf4,FRANCE,Women
Nike Blazer,20.0,NIKE,"NOIR, BLANC",35,https://www.vinted.fr/items/3848826530-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_008bd_rpQ6BAxezaJNNiz8vUJMktXF/310x430/1701790371.jpeg?s=c9dd55bdfba3be60b57b6fb3ed65899f8bc84fb2,"BARCELONA, ESPAGNE",Women
Nike blazer,8.0,NIKE,"NOIR, BLANC",38.5,https://www.vinted.fr/items/3221377177-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_007ea_Vye88dkbV9K4RHRYj9NW2Pcm/310x430/1688885356.jpeg?s=3916bef883bdad7c8f973fac66480fcb2aae5a2a,"MESSINA, ITALIE",Women
Nike blazer ,10.0,NIKE,"BLANC, JAUNE",37.5,https://www.vinted.fr/items/3148333128-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_01b0c_E4Rk5HB1sbzEHehyYDae1sDH/310x430/1698852335.jpeg?s=ffdc608174eab1cb8cded401eda8fad41c959420,ITALIE,Women
Nike Blazer ,14.9,NIKE,"BLANC, MARINE",40,https://www.vinted.fr/items/3884765098-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_002c1_cctsdgjkzssg8d5731TaRUuc/310x430/1702646864.jpeg?s=cb455f4a4240881db1673db1012eb922d765fab0,PORTUGAL,Women
Blazer nike ,13.0,NIKE,"BEIGE, MARRON",37.5,https://www.vinted.fr/items/3701818327-blazer-nike?referrer=catalog,https://images1.vinted.net/t/02_01760_hh7MQmqfzdUMv81jNFtu2otq/310x430/1698945722.jpeg?s=f8334c3ce7a39711bbfdb1929938e2fa1d942fc7,"QUÉZAC, FRANCE",Women
Nike blazer ,12.0,NIKE,"BLANC, ROSE",39,https://www.vinted.fr/items/3850672034-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_02083_5b1r38ZMgK6AuXoyUqPKttCT/310x430/1701850416.jpeg?s=f768c49ed95aab2db03d241f11c8e5ba8593f26b,"MONTPELLIER, FRANCE",Women
Paire de nike,20.0,NIKE,"BLANC, BEIGE",41,https://www.vinted.fr/items/3876682236-paire-de-nike?referrer=catalog,https://images1.vinted.net/t/02_002ca_FnjVv6xHzNnaxPG6Yj7zHENC/310x430/1702411034.jpeg?s=2caaac21b187343387a0e99549a834aa18d4c294,"LE KREMLIN-BICÊTRE, FRANCE",Women
Nike Blazer Mid '77 Vintage,80.0,NIKE,"NOIR, BLANC",36,https://www.vinted.fr/items/3436160119-nike-blazer-mid-77-vintage,https://images1.vinted.net/t/02_00b32_jYYJP4vWP7a9aaYoRc4So3J7/310x430/1693856100.jpeg?s=50db7f35a6a6a3c2cbed472444dccd428548655c,"SAINT-MARCELLIN, FRANCE",Women
Chaussures Nike Blazer basses violettes 40,20.0,NIKE,VIOLET,40,https://www.vinted.fr/items/3863560799-chaussures-nike-blazer-basses-violettes-40?referrer=catalog,https://images1.vinted.net/t/02_01564_oVPydswog5yNNnhbuEoJBTer/310x430/1702139129.jpeg?s=c84c401b5aa235d1f7c0d3477dfbb005b19d5102,FRANCE,Women
Nike blazer low plateform 41,60.0,NIKE,BLANC,41,https://www.vinted.fr/items/3872802923-nike-blazer-low-plateform-41?referrer=catalog,https://images1.vinted.net/t/03_0198e_yA3AbokHDJdz1ohsph58pz7c/310x430/1702319935.jpeg?s=f56b0eab62714d1f7e8501bec916a11d9d9f3148,"PARIS, FRANCE",Women
Nike blazer mid ,50.0,NIKE,"VERT, JAUNE",38.5,https://www.vinted.fr/items/3872545361-nike-blazer-mid?referrer=catalog,https://images1.vinted.net/t/01_01035_8bMSxQ4V66E3cP25Cd5mndVZ/310x430/1702316305.jpeg?s=7beecc7ece39dfb49438290e30e3cace792b3071,"SIGOULÈS, FRANCE",Women
Nike Blazer ,20.0,NIKE,BLANC,41,https://www.vinted.fr/items/3435095991-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_01df3_3T2DBG4rEV7e7sRdDdwFzrLp/310x430/1693841952.jpeg?s=7a4505e23c2e0ec73385827897877ce1e441098a,"CHAZELLES, FRANCE",Women
Nike Blazer grise et rose,12.0,NIKE,"GRIS, ROSE",37.5,https://www.vinted.fr/items/3874759196-nike-blazer-grise-et-rose?referrer=catalog,https://images1.vinted.net/t/02_00a43_dzrZeNwYbzknG4wfvDUsCCXJ/310x430/1702381402.jpeg?s=79a767aba73425e56a12612abaeda3c57e78bc51,"VIRY, FRANCE",Women
Nike blazer,20.0,NIKE,BLANC,37.5,https://www.vinted.fr/items/3776757981-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00cb5_Xs7zmvvPyK6rid3kgYN2DWS5/310x430/1700325059.jpeg?s=b4cc1fa96f6483cff2f79e3fa539ec1f80e17d34,"BESSE-SUR-ISSOLE, FRANCE",Women
Nike blazer,55.0,NIKE,"NOIR, BLANC",37.5,https://www.vinted.fr/items/3854430209-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_014b3_Sq8VZG5256PJRt52rL6JcXMt/310x430/1701938101.jpeg?s=ae458ecfc1df159e8e3688cc03692a9f88468f83,FRANCE,Women
nike blazer,16.0,NIKE,BLANC,36,https://www.vinted.fr/items/3805907937-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00244_k69qA964fnaAqRJLiBFxtTAr/310x430/1700909227.jpeg?s=6cbba9bff28bf60e42f7bf8d05faf5c83a823d1b,"OVIEDO, ESPAGNE",Women
Blazer Nike ,15.0,NIKE,"NOIR, ROSE",38,https://www.vinted.fr/items/3227735976-blazer-nike?referrer=catalog,https://images1.vinted.net/t/03_01d60_s7nRBtJ5wyFEpVg5EroSV3sU/310x430/1689011064.jpeg?s=48857083d2dbcce82a59ded5effe03ed7ed4bf7f,"VILLEPINTE, FRANCE",Women
Blazer grises et rouges,10.0,NIKE,"GRIS, ROUGE",39,https://www.vinted.fr/items/3865693176-blazer-grises-et-rouges?referrer=catalog,https://images1.vinted.net/t/01_00d00_yY12kAE6D6Z5wubuSuW1EqNh/310x430/1702300505.jpeg?s=234303837e8d9feff0b5f729f2f6ccce14811ef5,"PARIS 10, FRANCE",Women
Nike blazer ,25.0,NIKE,NOIR,38.5,https://www.vinted.fr/items/3398157541-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_01bc0_j6cJSNjaAW5cQsX7xU8jz2cs/310x430/1693147461.jpeg?s=55157bdd6c66d782451a5573601b4dbb32c3ee68,"SAINT-ÉTIENNE-DU-ROUVRAY, FRANCE",Women
Basket Nike Blazer Mid 77,35.0,NIKE,"BLANC, ROSE",38.5,https://www.vinted.fr/items/3880800647-basket-nike-blazer-mid-77?referrer=catalog,https://images1.vinted.net/t/03_01cbc_SdRGH39i1gCYKMFCLFjoBFh4/310x430/1702540332.jpeg?s=53a5d8989350260c7859ee3761f3137ea0fee352,"LUINGNE, BELGIQUE",Women
Nike Blazer ,50.0,NIKE,"BLANC, LILA",36.5,https://www.vinted.fr/items/3852737288-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_015c4_7opE3Y9X7pU7JSyRNr3uwEve/310x430/1701880493.jpeg?s=219f837254528306d07de9cf3898348cd21a99ad,"VILLAVICIOSA DE ODON, ESPAGNE",Women
Bellissime scarpe Nike blazer con ciondolo moneta ,24.0,NIKE,"BLANC, BORDEAUX",38,https://www.vinted.fr/items/3881028496-bellissime-scarpe-nike-blazer-con-ciondolo-moneta?referrer=catalog,https://images1.vinted.net/t/01_01a23_Pzn2zBp63Q9TaTivMAhsNVon/310x430/1702546491.jpeg?s=0082d06ad59acd29b556853b70fd07a6ce73837b,"MONTESARCHIO, ITALIE",Women
Nike blazer ,15.0,NIKE,BLANC,36.5,https://www.vinted.fr/items/3879479844-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_0195b_iXxuCzC4uRDM7FsKfu9HAHPr/310x430/1702487371.jpeg?s=5d24431836ffaf6de2b50817bb88d30677845f8d,"BASAURI, ESPAGNE",Women
Nike Blazer ,20.0,NIKE,"BLANC, ROUGE",38,https://www.vinted.fr/items/3878495916-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_01993_AeRu3ztQRzBE897pLsFeESFo/310x430/1702472897.jpeg?s=cfd6ce1522515ae7302c0051451e25a6e67e83b5,FRANCE,Women
Nike Blazer,25.0,NIKE,"BEIGE, MOUTARDE",38.5,https://www.vinted.fr/items/3714532914-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00795_aqjmLd1TFuKYzYJ3QYRJhYDs/310x430/1699183909.jpeg?s=07c2b0a4228abc0ad09056e50d9eed5269d7d18d,"ROCHEFORT, FRANCE",Women
Nike blazer ,10.0,NIKE,"NOIR, BLANC",39.5,https://www.vinted.fr/items/3867269406-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00514_LBbGNWhU76dFTWJpim2X9bam/310x430/1702218210.jpeg?s=c3aca56b75a905ad3528a61f95b3a97d9b43e140,"BONDUES, FRANCE",Women
Nike blazer,30.0,NIKE,BLANC,36.5,https://www.vinted.fr/items/3747867178-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_01d63_52jKw9GG8QV83zG5W5MGBia7/310x430/1699790973.jpeg?s=a026ce33817d657af143ef1757e7d1b8059d230f,"SAUZET, FRANCE",Women
Basket Nike blazer,20.0,NIKE,GRIS,36,https://www.vinted.fr/items/3879026187-basket-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_00a17_FQBW11MQ29d63LUXPc28aXt2/310x430/1702480380.jpeg?s=c722dc3bd1127cb80ecb0702c96e4fd8691fa9ec,"TOULOUSE, FRANCE",Women
Nike blazer,20.0,NIKE,BLANC,40,https://www.vinted.fr/items/3880416032-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_0053d_ZZZZgQWi6v8ceR7PqSnjUhMb/310x430/1702503406.jpeg?s=fe993834134f63539d31d69cd521c36c3293e7f7,"MARCONNELLE, FRANCE",Women
Nike blazer ,10.0,NIKE,NOIR,36.5,https://www.vinted.fr/items/3772062024-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00920_787CwGS8gYSv3Nka9TJmNW8c/310x430/1700235067.jpeg?s=4551200a2c8e98abf089e3e02e93abb1228e8b37,"LA WALCK, FRANCE",Women
Nike blazer ,11.0,NIKE,"NOIR, BEIGE",40,https://www.vinted.fr/items/3856282121-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_0217d_Q4rvCKwyX6uxpVuUVHyTuEbE/310x430/1701966823.jpeg?s=9e3d51e2291284f80d5b2792ea011eb46ff1bfcc,"CASCAIS, PORTUGAL",Women
Nike Blazer blanches ,20.0,NIKE,"BLANC, BEIGE",37.5,https://www.vinted.fr/items/3868966729-nike-blazer-blanches?referrer=catalog,https://images1.vinted.net/t/03_019c9_eZG47GZ11WbNHBc61CcG7PW7/310x430/1702234427.jpeg?s=40fc195c8056f0871612da506928359240cc11a4,"LAVAL-PRADEL, FRANCE",Women
👟 Nike Air Max 90 OG Grape taille 37 blanc/gris/violet 👟,60.0,NIKE,"GRIS, BLANC",37,https://www.vinted.fr/items/3781931904-nike-air-max-90-og-grape-taille-37-blancgrisviolet,https://images1.vinted.net/t/02_00257_zSHVetLF5NgS7ueFttJMAeUb/310x430/1700408503.jpeg?s=2c926bb24c16f21adee146c80cca9f48d2306c82,"GENNEVILLIERS, FRANCE",Women
Blazer Nike ,18.0,NIKE,BLANC,38,https://www.vinted.fr/items/3702986355-blazer-nike?referrer=catalog,https://images1.vinted.net/t/03_00ccb_aVf8uv5zJDK3qwUZd2pPkLdA/310x430/1698961275.jpeg?s=29b53973d747367c10fbb00a64b6d29f2544b78a,FRANCE,Women
"Nike blazer taille 40,5",50.0,NIKE,"BLANC, ROSE",40.5,https://www.vinted.fr/items/3875175318-nike-blazer-taille-405?referrer=catalog,https://images1.vinted.net/t/01_01d9a_82oZEyjTi4dogCFzqaPeMx9c/310x430/1702387586.jpeg?s=bffe802728437c758a89981cfbf2868557b31f87,"PARIS, FRANCE",Women
