Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike blazer ,20.0,NIKE,"BLANC, BLEU",38,https://www.vinted.fr/items/3867848764-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_00dde_kY54EGQijeerMtkspdgGvMBR/310x430/1702223284.jpeg?s=53da507cfe6c9bd374aef73e3619c25c98c1f90e,"ZEELAND, PAYS-BAS",Men
Nike blazer mid 77 pro club,40.0,NIKE,BLANC,42,https://www.vinted.fr/items/3879733803-nike-blazer-mid-77-pro-club?referrer=catalog,https://images1.vinted.net/t/03_01ee7_w1L1jBhcPYsC3muuYmBeUwTF/310x430/1702491474.jpeg?s=27df10d5a629df9a942307ffde2c8797a5aeeb1a,"BARCELONA, ESPAGNE",Men
Nike blazer ,9.0,NIKE,"GRIS, BEIGE",39,https://www.vinted.fr/items/2828630169-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_0085b_uBkPc6wtKvaXYBjz85ymBBoS/310x430/1679758870.jpeg?s=1581d5b27193b4b8e825b3100ce94a3240f71fad,"DIJON, FRANCE",Men
Blazer Nike ,25.0,NIKE,"NOIR, BLANC","38,5",https://www.vinted.fr/items/3863283938-blazer-nike?referrer=catalog,https://images1.vinted.net/t/03_01e07_R8oTfmLZE1AsbiLfo6PkontN/310x430/1702379637.jpeg?s=364cdbbd924a615b26f6ba342bee54940b68fc12,FRANCE,Men
Blazer Nike ,24.0,NIKE,BLANC,38,https://www.vinted.fr/items/3837057054-blazer-nike?referrer=catalog,https://images1.vinted.net/t/01_02440_NUQMbm83Z7MNmdkb28KCpKCM/310x430/1701537908.jpeg?s=f998a44f113b7b2e91facd22ebefbfdbe97c5031,"ROQUEMAURE, FRANCE",Men
Nike Blazer High Men’s 41,30.0,NIKE,"NOIR, BLANC",41,https://www.vinted.fr/items/3878253686-nike-blazer-high-mens-41?referrer=catalog,https://images1.vinted.net/t/03_01857_Ru2u8doSQCpTfydPGFUzMfvR/310x430/1702469287.jpeg?s=748d465a07835f5f92d73acc36f916e4de2a6d5c,"DEN HAAG, PAYS-BAS",Men
Blazer Nike ,12.0,NIKE,"NOIR, BLANC","38,5",https://www.vinted.fr/items/3878247311-blazer-nike?referrer=catalog,https://images1.vinted.net/t/02_007a7_6z5c3d5zNVXTuTVSmAegLCFS/310x430/1702469185.jpeg?s=df906af6de5d526424d8b80849a7bbc3caa494eb,"PARADA DE CIMA, PORTUGAL",Men
Nike blazer mid 77 VNTG,50.0,NIKE,"BLANC, ORANGE",45,https://www.vinted.fr/items/3876843430-nike-blazer-mid-77-vntg?referrer=catalog,https://images1.vinted.net/t/02_00a83_CtTgnijuAa9cADGjQFq9ZVWg/310x430/1702413719.jpeg?s=535d0caaee64b5d252167079b355ec732b497cf7,"ROTTERDAM, PAYS-BAS",Men
Chaussures / basket Nike air Max Pre-Day Bred noir rouge blanche 46 neuve ,62.99,NIKE,"NOIR, ROUGE",46,https://www.vinted.fr/items/3751142959-chaussures-basket-nike-air-max-pre-day-bred-noir-rouge-blanche-46-neuve,https://images1.vinted.net/t/03_02197_MV5n6Kzpbw4usw2gGR4AFXFU/310x430/1699812285.jpeg?s=894a3c0a558d7adf8e5a8ce6db2c76686c89fbc1,FRANCE,Men
Nike blazer,15.0,NIKE,"BLEU, BLANC","42,5",https://www.vinted.fr/items/2736810779-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_01027_PbJA1rJQDvDYc62FMvaLsDK1/310x430/1677530687.jpeg?s=61864670699c1001b231e22400119bd0af2ce3ed,"BARCELONA, ESPAGNE",Men
Nike Blazer Mid '77 Jumbo,40.0,NIKE,BLANC,42,https://www.vinted.fr/items/3866506339-nike-blazer-mid-77-jumbo?referrer=catalog,https://images1.vinted.net/t/02_016ac_sneQw4d6DkgrXBiK6xbSPCAj/310x430/1702211408.jpeg?s=067da51c9f5fa1a322428da4b3cee31b99e6f3e1,"'S-GRAVENHAGE, PAYS-BAS",Men
Nike blazer,20.0,NIKE,"NOIR, GRIS",45,https://www.vinted.fr/items/3689223783-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_02541_cdwxrqgTWdkwsvzyGQxBdSjf/310x430/1698700110.jpeg?s=9cc598d4b7676857547f57d4fffb7bd748bcb8f5,"DIVONNE-LES-BAINS, FRANCE",Men
Nike blazer,20.0,NIKE,BLANC,43,https://www.vinted.fr/items/3763037052-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_005b5_cEZSVpwp44vmQAdUHAxngu9V/310x430/1700052343.jpeg?s=e0a7de46c118ab73343496e87b7be31f138ce397,"PARIS, FRANCE",Men
Nike blazer ,30.0,NIKE,"GRIS, BLANC",42,https://www.vinted.fr/items/3870034241-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_01a92_4DgVpDWoXivYqspvqDTzs9Wj/310x430/1702252495.jpeg?s=5b9e6c655ba0533341b4cbd72b007c0f6f5a69c8,"SOUCHEZ, FRANCE",Men
Nike Blazer,20.0,NIKE,"NOIR, BLANC",43,https://www.vinted.fr/items/3792546594-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_01b57_aQtA4fGykqnskPdsbYtkgqtQ/310x430/1700597127.jpeg?s=f5873d8db0253cf1171eb1e480b1adeb438c5ba1,"COBEÑA, ESPAGNE",Men
Nike blazer,20.0,NIKE,BLANC,43,https://www.vinted.fr/items/3796277567-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_006e8_B8FWorTMjKMdGnVds1UtiRB9/310x430/1700675596.jpeg?s=bc099fd5a8819be3120697317ab2e0967d0cb086,FRANCE,Men
Nike Blazer,10.0,NIKE,"BLANC, BEIGE",42,https://www.vinted.fr/items/3394960462-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_01303_QJQraZ9cQqmqfhibYKtvMjPw/310x430/1693078514.jpeg?s=ba8b15baa53b6aa9e9108a4d84105eb1636c8292,"SÃO DOMINGOS DE RANA, PORTUGAL",Men
Nike Blazer ,20.0,NIKE,GRIS,42,https://www.vinted.fr/items/3828972407-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_009aa_zLKjuKYeHr6ATRnEAeTjZ249/310x430/1701353065.jpeg?s=e074732047d8cdac476ae650bbe9fb421c005a34,"MONTESILVANO, ITALIE",Men
nike blazer vintage,25.0,NIKE,VERT FONCÉ,"42,5",https://www.vinted.fr/items/3880610290-nike-blazer-vintage?referrer=catalog,https://images1.vinted.net/t/02_01279_26YpkCSXSp5YBzBFJD3CLFYU/310x430/1702510134.jpeg?s=c794778beaabe2a3817cecbc2e803c4913f57635,"BELLA, ITALIE",Men
Nike blazer ,25.0,NIKE,NOIR,38,https://www.vinted.fr/items/3872154435-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_01816_TCnjgbjqUTcKVhK1oNsL6vgp/310x430/1702310644.jpeg?s=efa539962dc9175d658a2863f85203331477a08e,FRANCE,Men
Nike blazer,20.0,NIKE,BLEU,42,https://www.vinted.fr/items/3655316084-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00544_fypFtBZRVFHAhx1zxTSDF7AC/310x430/1698084611.jpeg?s=6ef226ac7996d7e53d6a3af053d3ee6c307facbf,"PARIS, FRANCE",Men
Nike Blazer,12.0,NIKE,GRIS,40,https://www.vinted.fr/items/3803937088-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_01fbf_iirEPTr3RcTS3FfaXMi3qFpD/310x430/1700846703.jpeg?s=ba067eaa23d9188941d521d5ffcc236e500a3a51,"SAN GIOVANNI INCARICO, ITALIE",Men
Nike blazer,12.0,NIKE,"NOIR, BLANC",40,https://www.vinted.fr/items/3702962467-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_022dd_iZsEi7icnPdHXFm5hbnbai78/310x430/1698960817.jpeg?s=30b3416858c62433362d8a2368a49f3dc0b5cc67,"MONTERIGGIONI, ITALIE",Men
Nike blazers homme,15.0,NIKE,BLANC,44,https://www.vinted.fr/items/3879688369-nike-blazers-homme?referrer=catalog,https://images1.vinted.net/t/02_02022_FRyxBTVTv9xx6EEpFe11L8eG/310x430/1702490723.jpeg?s=b9454f51c5ba50041bcb160ebef1967d6d8fe351,"REIMS, FRANCE",Men
Zapatillas Nike Blazer ,27.5,NIKE,"BLANC, BEIGE",43,https://www.vinted.fr/items/3876075755-zapatillas-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_02011_GmYkox38HK6v9ELiViNMVoEG/310x430/1702401172.jpeg?s=ea83a1e69bb7b1b3492633ecf27990bb39895191,"CERCEDILLA, ESPAGNE",Men
