Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
0,Nike dunk bébé grise taille 25 ,15.0,NIKE,GRIS,25,https://www.vinted.fr/items/3888601040-nike-dunk-bebe-grise-taille-25?referrer=catalog,https://images1.vinted.net/t/01_015e7_CeyX15woowk9EaWaXGTuVppp/310x430/1702752349.jpeg?s=9e6397d88bfff52a1b1944b43dd7965d884517e6,"SAINT-AVOLD, FRANCE",Kid
1,Dunk Nike enfant ,25.0,NIKE,"NOIR, BLANC",22,https://www.vinted.fr/items/3883877271-dunk-nike-enfant?referrer=catalog,https://images1.vinted.net/t/03_026a5_y3xvsokifWuVH4Xf8StYCD6E/310x430/1702629497.jpeg?s=6d532da8835bc481a0d630afdc33a0eca33e92fb,"REMERSDAAL, BELGIQUE",Kid
2,Nike Dunk   Low   Black and whte panda  38,41.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3881795207-nike-dunk-low-black-and-whte-panda-38?referrer=catalog,https://images1.vinted.net/t/02_020ce_tnvqQAuGSNxMo86EyvXi5vbd/310x430/1702559663.jpeg?s=286792376c9a3a73731be429ba194d1ec2004cb3,PAYS-BAS,Kid
3,Nike Dunk Flamingo sneakers EU 38,51.32,NIKE,GRIS,38,https://www.vinted.fr/items/3874526946-nike-dunk-flamingo-sneakers-eu-38?referrer=catalog,https://images1.vinted.net/t/03_01020_pfAenhWBrpwqEeMjtYM5e9Fn/310x430/1702377798.jpeg?s=83c2f5fee1225e7f129974c352b5ef8f7b0be474,FRANCE,Kid
4,Nike dunk panda ,20.0,NIKE,NOIR,22,https://www.vinted.fr/items/3891578411-nike-dunk-panda?referrer=catalog,https://images1.vinted.net/t/02_01ec4_VPynArmndgo7kQ6FNgxPxYRK/310x430/1702833553.jpeg?s=bb09fa80d2b1d2986a6c07fc588ec8b6e1ba8767,"PAVILLY, FRANCE",Kid
5,Nike dunk low taille 40 Chaussures,49.0,NIKE,"GRIS, BLANC",40,https://www.vinted.fr/items/3881776907-nike-dunk-low-taille-40-chaussures?referrer=catalog,https://images1.vinted.net/t/02_02098_zFyn2SmhP6wevX3wkESNpRyc/310x430/1702559363.jpeg?s=152f8d17beb4c32c9eef9166b4bf27531c8cee45,FRANCE,Kid
6,"Nike dunk low enfant 27,5",29.0,NIKE,"NOIR, BLANC",27,https://www.vinted.fr/items/3875148342-nike-dunk-low-enfant-275?referrer=catalog,https://images1.vinted.net/t/02_0012d_aXSJpJ2zfiP2H5w6BJGQD1Pn/310x430/1702387203.jpeg?s=9fd990da167585e9d648128dbf3fd57f55cf3212,"MARSEILLE 10, FRANCE",Kid
7,Nike Dunk Low,25.0,NIKE,"BORDEAUX, ROSE",23,https://www.vinted.fr/items/3873554339-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_024e8_jqUyU4pNkU576M4uKren2hMX/310x430/1702330778.jpeg?s=e952e0e9026a3ac3008ff3d46f653736c05fd412,FRANCE,Kid
8,Nike Air Max 97 zapatillas correr sneakers nuevos basket Jordan Air force tn uptempo retro dunk,55.0,NIKE,"BLANC, MULTICOLORE",36,https://www.vinted.fr/items/3835401480-nike-air-max-97-zapatillas-correr-sneakers-nuevos-basket-jordan-air-force-tn-uptempo-retro-dunk,https://images1.vinted.net/t/02_0176f_mbm2Jx2kFyYwesbFtWXrNHSQ/310x430/1701518261.jpeg?s=49651267f343405edbcbc8cfd79ec8e528fe5f43,"EL CAMPELLO, ESPAGNE",Kid
9,Nike dunk low,40.0,NIKE,NOIR,21,https://www.vinted.fr/items/3880705734-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_005db_5mZRM9ywgbydJX21t5ZrFzBj/310x430/1702533474.jpeg?s=17408e09ad4a6a4d986aedd06d0a31ae9b8c9830,FRANCE,Kid
10,"Nike dunk maat 23,5 (eur)",27.5,NIKE,BORDEAUX,23,https://www.vinted.fr/items/3880103244-nike-dunk-maat-235-eur?referrer=catalog,https://images1.vinted.net/t/02_01609_AKrCUxeUMsfbA6Dh3YGjLoX4/310x430/1702497690.jpeg?s=d7713f3e0bd0b1b66efa445c4a780b0564b23b44,"MUIDEN, PAYS-BAS",Kid
11,Nike Dunk   Low   Black and whte panda  39,41.0,NIKE,"NOIR, BLANC",39,https://www.vinted.fr/items/3881819676-nike-dunk-low-black-and-whte-panda-39?referrer=catalog,https://images1.vinted.net/t/02_018e4_WPviS3zBM6sHXycVke7ppXwP/310x430/1702560058.jpeg?s=c226fb224529ed083f953b589a91b049f987df56,PAYS-BAS,Kid
12,Nike Dunk   Low   Black and whte panda  40,39.6,NIKE,NOIR,40,https://www.vinted.fr/items/3881802324-nike-dunk-low-black-and-whte-panda-40?referrer=catalog,https://images1.vinted.net/t/01_00333_v2e97ABFmZMs8EwUS3dQGuoB/310x430/1702559779.jpeg?s=693904dc6dada15e6df4eb7d4f728888bf95371f,PAYS-BAS,Kid
13,Nike Dunk Low Verde oscuro 40,43.99,NIKE,"BLANC, VERT",40,https://www.vinted.fr/items/3892011604-nike-dunk-low-verde-oscuro-40?referrer=catalog,https://images1.vinted.net/t/02_0243e_aVhVJD6uFUzDcVXi3HpV2WLf/310x430/1702840164.jpeg?s=12882fbd349b9e9cf14b59af196dd26566a3849f,"CARPENTRAS, FRANCE",Kid
14,Nike Dunk Black Low White Panda EU 39,55.0,NIKE,NOIR,39,https://www.vinted.fr/items/3891969397-nike-dunk-black-low-white-panda-eu-39?referrer=catalog,https://images1.vinted.net/t/03_000eb_DLjawN5VXwfCVfwYXFRGbwXT/310x430/1702839473.jpeg?s=cb18de9bc3f0ac556f18efc6e0c0a825e35e4533,"AJACCIO, FRANCE",Kid
15,Paire de Nike dunk,31.0,NIKE,"NOIR, BLANC",23,https://www.vinted.fr/items/3877718975-paire-de-nike-dunk?referrer=catalog,https://images1.vinted.net/t/03_020db_tC4pvx7z8XGyyvD9LRitcfDh/310x430/1702460873.jpeg?s=d998b662f0d8f89448bb7da8f890cf917d93da71,"BEAUVAIS, FRANCE",Kid
16,Nike Dunk Low. 36,25.0,NIKE,"BLANC, BLEU",36,https://www.vinted.fr/items/3890049118-nike-dunk-low-36?referrer=catalog,https://images1.vinted.net/t/02_005f7_rv83bmKAptRC3zTG1N8jxBXa/310x430/1702813610.jpeg?s=0e5359ed8cc7a727c154d61bd61c835bd46dd4f4,ESPAGNE,Kid
17,Basket Nike ,33.0,NIKE,NOIR,26,https://www.vinted.fr/items/3873155468-basket-nike?referrer=catalog,https://images1.vinted.net/t/03_009b2_gVhWhiqLD8i5jszYJqHH9L2z/310x430/1702324764.jpeg?s=1bb06e389bf406285b33660b5adb44ec425b5c22,"NOYON, FRANCE",Kid
18,Nike dunk bambino/a,10.0,NIKE,"NOIR, BLANC",28,https://www.vinted.fr/items/3884037167-nike-dunk-bambinoa?referrer=catalog,https://images1.vinted.net/t/02_00e82_hYs9ZuocyqrxVyPCnJpV1a7z/310x430/1702633357.jpeg?s=81510eb76631a6f7cead237ff0cea6ff849c167b,"TORINO, ITALIE",Kid
19,Nike Dunk 26,33.0,NIKE,"NOIR, ROUGE",26,https://www.vinted.fr/items/3892023676-nike-dunk-26?referrer=catalog,https://images1.vinted.net/t/02_02031_BBFS3GAh9yKG5etKbRXZVaV5/310x430/1702840364.jpeg?s=0b94c0d936972fe92b9e2efa3f1fc57c3c601e1f,"SAUGNAC-ET-CAMBRAN, FRANCE",Kid
20,Nike dunk low Triple pink 38,52.36,NIKE,ROSE,38,https://www.vinted.fr/items/3883756868-nike-dunk-low-triple-pink-38?referrer=catalog,https://images1.vinted.net/t/01_00316_DaJ3S5boUNv1my62sAkDvMNM/310x430/1702624393.jpeg?s=272867c1994fd1f94cde7f6388d751ebefdb49b7,"CAUSSADE-RIVIÈRE, FRANCE",Kid
21,Nike Dunk Low White Black 36,43.99,NIKE,"NOIR, BLANC",36,https://www.vinted.fr/items/3891999908-nike-dunk-low-white-black-36?referrer=catalog,https://images1.vinted.net/t/03_006e5_YnFh7ypVGJPcyCAqPsVyyAYL/310x430/1702839971.jpeg?s=ed2fe332fd610bc9594a4ad098ba1b6f65233e41,"CARPENTRAS, FRANCE",Kid
