Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
0,Dunk Low (Apenas um sapato),25.0,NIKE,"BLANC, BEIGE",42.5,https://www.vinted.fr/items/3883478564-dunk-low-apenas-um-sapato?referrer=catalog,https://images1.vinted.net/t/03_01bb9_U1DAbfqNqqZLDEZU8tttzkba/310x430/1702590663.jpeg?s=85dec1ec4c317ba8168acdb544ffba4a85716452,PORTUGAL,Women
1,Dunk low mauve ,50.0,NIKE,"BLANC, LILA",40,https://www.vinted.fr/items/3880336776-dunk-low-mauve?referrer=catalog,https://images1.vinted.net/t/03_01808_FSAfuEfw2UEHjHNx2F8JHDfd/310x430/1702501774.jpeg?s=25c68ee3a9dbc6f3e50a8c5f035dead5f8ddf52e,FRANCE,Women
2,Dunk Low Black White Panda sneakers 39,50.0,NIKE,"NOIR, BLANC",39,https://www.vinted.fr/items/3888062557-dunk-low-black-white-panda-sneakers-39?referrer=catalog,https://images1.vinted.net/t/01_00e4d_Z7QVyRnZgwd5JyyGxE6cbb3P/310x430/1702741924.jpeg?s=b520a7218647ef5e36825a06418b0f6bef7aa22d,FRANCE,Women
3,Nike Dunk Low Triple Pink (GS) 38.5,53.1,NIKE,"BLANC, ROSE",38.5,https://www.vinted.fr/items/3869761967-nike-dunk-low-triple-pink-gs-385?referrer=catalog,https://images1.vinted.net/t/02_0063b_KeXYyRom7HGgYZWzFRmkPsEs/310x430/1702244386.jpeg?s=a46f212061c0cbf6cccf6b0a3552a047001de6e1,FRANCE,Women
4,Nike dunk ,50.0,NIKE,KAKI,37.5,https://www.vinted.fr/items/3882268289-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_0113b_dDci1qQbH6KsSEooTKXYWw3k/310x430/1702567406.jpeg?s=f86bc029ae4eed7de4ab7cfa6b4f52d04397fb8c,"L'ÎLE-D'OLONNE, FRANCE",Women
5,Dunk beige et blanche ,29.0,NIKE,"GRIS, BEIGE",38.5,https://www.vinted.fr/items/3879270498-dunk-beige-et-blanche?referrer=catalog,https://images1.vinted.net/t/02_00d67_8m1ygFoKDta7CskfA2dW2Aj5/310x430/1702484076.jpeg?s=cb1448d80d0898c556dc4d50598d8690eb8edc91,FRANCE,Women
6, 🏈Dunk Low Medium Olive Eu 38,70.0,NIKE,"BLANC, KAKI",38,https://www.vinted.fr/items/3879997129-dunk-low-medium-olive-eu-38?referrer=catalog,https://images1.vinted.net/t/01_02216_Hdk52vCaDz16ohctagPn4n45/310x430/r1/1702495906.jpeg?s=196decc0f9c6d43208cd19f24783d0fe32640ccd,FRANCE,Women
7,nike dunk low en 34,57.0,NIKE,GRIS,34,https://www.vinted.fr/items/3882397135-nike-dunk-low-en-34?referrer=catalog,https://images1.vinted.net/t/03_018cf_xsoL7wVvG3H266M51Psdc7tf/310x430/1702569743.jpeg?s=a7aaf80357588e6bfe2cab89c7f3cda727852c3e,"CAGNES-SUR-MER, FRANCE",Women
8,"Nike Air Max 95 zapatillas correr sneakers nuevos 
basket Jordan Air force tn uptempo retro dunk

",80.0,NIKE,"NOIR, VERT",38,https://www.vinted.fr/items/3774007371-nike-air-max-95-zapatillas-correr-sneakers-nuevos-basket-jordan-air-force-tn-uptempo-retro-dunk,https://images1.vinted.net/t/02_01e1a_DXaCsJWHFgthG7GpbfqX6Trw/310x430/1700297730.jpeg?s=8faeb99c90d3dc8c75ce34b4acdb8a0ce58dc7a2,"EL CAMPELLO, ESPAGNE",Women
9,Nike Dunk High taille 37.5,50.0,NIKE,BLANC,37.5,https://www.vinted.fr/items/3872012773-nike-dunk-high-taille-375?referrer=catalog,https://images1.vinted.net/t/02_01788_WbVVZnFSFqVeY8GA7FvePWd3/310x430/1702308592.jpeg?s=766c583ed4114d3ef2123474a58d8f793dcfe45d,"ROSNY-SOUS-BOIS, FRANCE",Women
