Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
0,Dunk low ,1.0,NIKE,"BLANC, BLEU","44,5",https://www.vinted.fr/items/3890663184-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_0186f_nVyJSyued5T5HETphB6NmhFC/310x430/1702821413.jpeg?s=37fa88456929ada99204495b956c9385040414c6,"GIF-SUR-YVETTE, FRANCE",Men
1,Nike dunk low medium curry,15.0,NIKE,"BEIGE, MARRON",42,https://www.vinted.fr/items/3891813762-nike-dunk-low-medium-curry?referrer=catalog,https://images1.vinted.net/t/03_02165_aQWPKUppUszm2AX9Y1ZNcMKV/310x430/1702837000.jpeg?s=d946317f45fe02fa840336ea32189c418f216135,"LA RONDE, FRANCE",Men
2,Nike dunk,60.0,NIKE,"BLEU, MARINE",42,https://www.vinted.fr/items/3889531447-nike-dunk?referrer=catalog,https://images1.vinted.net/t/03_02206_9jZdtkqK7APdPeSM49ULYFKs/310x430/1702806213.jpeg?s=353e2d0ea6a9cd168cb90c4c4234e89c94b1cc41,"BURJASSOT, ESPAGNE",Men
3,Nike dunk high Varsity purple 2010,21.0,NIKE,"BLANC, VIOLET",42,https://www.vinted.fr/items/3890405989-nike-dunk-high-varsity-purple-2010?referrer=catalog,https://images1.vinted.net/t/02_01b88_PjUXazfmn1Fak29WiaH95ozZ/310x430/1702818176.jpeg?s=a16ebb773f1d1d9895e92d59b8f198034ce90990,FRANCE,Men
4,dunk low meidum olive 46,55.0,NIKE,"BLANC, KAKI",46,https://www.vinted.fr/items/3889828469-dunk-low-meidum-olive-46?referrer=catalog,https://images1.vinted.net/t/02_006c1_PBwGg8U2bcAaTJ8tPz6XFd3b/310x430/1702810543.jpeg?s=c8f925d7f2708c62ed9b23a1e0080e2a78ec0d3e,"VILLABÉ, FRANCE",Men
5,🏐dunk low grey fog 🏐,55.45,NIKE,"GRIS, BLANC",44,https://www.vinted.fr/items/3890633647-dunk-low-grey-fog?referrer=catalog,https://images1.vinted.net/t/01_001df_6r1fv1yZcHqRFtoZfCUegJxy/310x430/1702821043.jpeg?s=7af9af59dadf5d156c177d2acd3c195da5cf0c51,PORTUGAL,Men
6,Baskets Nike Style Dunk High ,20.0,NIKE,BLANC,"42,5",https://www.vinted.fr/items/3889215428-baskets-nike-style-dunk-high?referrer=catalog,https://images1.vinted.net/t/01_02042_UcrvwZWbgcnLEjJaap5p3q5K/310x430/1702787361.jpeg?s=553589904372da915c8e59a2136c6ee8b91685f1,"MEYREUIL, FRANCE",Men
7,Jogging nike Taille M,35.0,NIKE,GRIS,M,https://www.vinted.fr/items/3891763544-jogging-nike-taille-m?referrer=catalog,https://images1.vinted.net/t/03_0007a_kbA93bUvq6Qa3YWXSwibRe2X/310x430/1702836245.jpeg?s=194d0197abb860095e89e57b1df7e6755d03fd28,"LILLE, FRANCE",Men
8,Sweat Nike Vintage 90’s Big Logo bordado,35.0,NIKE,GRIS,L,https://www.vinted.fr/items/3853104635-sweat-nike-vintage-90s-big-logo-bordado,https://images1.vinted.net/t/02_006db_51TuiPoWMka54tbzw6UnueZs/310x430/1702057028.jpeg?s=a9514bfa9380b58d124a98c3c00d041d8ba05385,"VALENCIA, ESPAGNE",Men
9,Nike Dunk SB Low Retro Valerian Blue EU 39,59.22,NIKE,BLEU,39,https://www.vinted.fr/items/3883093209-nike-dunk-sb-low-retro-valerian-blue-eu-39?referrer=catalog,https://images1.vinted.net/t/01_00474_qY8H5E4brMmTzZGm6W1UssNB/310x430/1702582710.jpeg?s=061b9c35877f22d54cb0a5195a44c48c44b87ae0,"MADRID, ESPAGNE",Men
10,Dunk low ,43.0,NIKE,"BEIGE, MARRON",40,https://www.vinted.fr/items/3879578835-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_02631_wsEapUqn2stTmYuQtAuuH916/310x430/1702488957.jpeg?s=62e18732b22ec9c5d9c14e1e2128bc363916a30d,FRANCE,Men
11,dunk sb ,35.0,NIKE,"GRIS, BEIGE","38,5",https://www.vinted.fr/items/3881956140-dunk-sb?referrer=catalog,https://images1.vinted.net/t/02_0084b_FPQy68L58JmpSt9TAKE24A3M/310x430/1702562271.jpeg?s=31a9b0fe843843c23d937fed781dae88a0471dd4,"ROMA, ITALIE",Men
12,Nike Dunk High Retro Chenille Swoosh White Grey,60.0,NIKE,GRIS,41,https://www.vinted.fr/items/3882791839-nike-dunk-high-retro-chenille-swoosh-white-grey?referrer=catalog,https://images1.vinted.net/t/03_00025_9X2vuAGddpCTPRyFrVuSRfft/310x430/1702576960.jpeg?s=1ec8e0542a88187abf502d19f3c857429cd3f5b4,"LE CANNET, FRANCE",Men
13,Vendo dunk usate ottimo stato n42 ,30.0,NIKE,"BLANC, VERT",42,https://www.vinted.fr/items/3890929068-vendo-dunk-usate-ottimo-stato-n42?referrer=catalog,https://images1.vinted.net/t/02_013d4_eCqMnCHsxyCc9XfgyDKngiV6/310x430/1702824721.jpeg?s=277ad737c61021bcbade6525329e04ada57cb44c,"MILANO, ITALIE",Men
14,Nike Dunk Low Coast Blue 40,50.0,NIKE,BLEU,40,https://www.vinted.fr/items/3889346035-nike-dunk-low-coast-blue-40?referrer=catalog,https://images1.vinted.net/t/03_00f3a_EbSMLxQctJ1m8iQ5Q5zcUsrR/310x430/1702801997.jpeg?s=4c65158bf9b73c15512a2f3e458fde7d35882d12,"AMIENS, FRANCE",Men
15,Nike SB Dunk low ISO court purple / violet ,165.0,NIKE,"BLANC, VIOLET",41,https://www.vinted.fr/items/3890208449-nike-sb-dunk-low-iso-court-purple-violet?referrer=catalog,https://images1.vinted.net/t/02_01640_B8gF5NNgqcd8VKfHKtnVTeSX/310x430/1702815586.jpeg?s=c5627e11a9378a78ae59bfd6746cef54aba21000,"CASTELGINEST, FRANCE",Men
16,Jogging Nike solo swoosh ,60.0,NIKE,NOIR,S,https://www.vinted.fr/items/3882665338-jogging-nike-solo-swoosh?referrer=catalog,https://images1.vinted.net/t/03_019e5_a9VaJAqhXeus8siNbENg9Dnq/310x430/1702574634.jpeg?s=bb6ef0771a3efbf54131745dfc08ed32d9142448,"MAZEROLLES, FRANCE",Men
17,Dunk👟 Low Retro🐼 White Black Panda 42,65.88,NIKE,NOIR,Universel,https://www.vinted.fr/items/3882627917-dunk-low-retro-white-black-panda-42?referrer=catalog,https://images1.vinted.net/t/01_0124e_TYC1PnJo62mLNgyUU2UkXrTr/310x430/1702573956.jpeg?s=1e27262730b413d1533a0f63d75b47f28748daa4,"PARIS, FRANCE",Men
18,Pull zippé Nike crème vintage,14.95,NIKE,"BLANC, CRÈME",XL,https://www.vinted.fr/items/3883078368-pull-zippe-nike-creme-vintage?referrer=catalog,https://images1.vinted.net/t/02_00896_jiEs13JAfUZU1sQZsnPiYauJ/310x430/1702582426.jpeg?s=b1fd3a5dbcece0d2f3e178abd68b8c110e065b65,"HERBÉVILLER, FRANCE",Men
19,Nike dunk low moon grey ,60.0,NIKE,"GRIS, BLANC",41,https://www.vinted.fr/items/3880650559-nike-dunk-low-moon-grey?referrer=catalog,https://images1.vinted.net/t/03_01e69_JMc2gRgcfyfY4X1WZfd4f2vS/310x430/1702514424.jpeg?s=be81816c3ae31cafd08438e05883a0f82d1b0eb6,"CALAN, FRANCE",Men
20,Nike Dunk High Aluminium,80.0,NIKE,"BLANC, BLEU",40,https://www.vinted.fr/items/3883338171-nike-dunk-high-aluminium?referrer=catalog,https://images1.vinted.net/t/03_00480_2sJRo3EHMBPXXqNYG7t7iNw8/310x430/1702587392.jpeg?s=c4ed8cbee85b65fa62e757b4e6d29e887846c2e3,"ANTONY, HAUTS-DE-SEINE, FRANCE",Men
21,Nike Dunk Low Retro White Black Panda 42,50.0,NIKE,"NOIR, BLANC",42,https://www.vinted.fr/items/3888075902-nike-dunk-low-retro-white-black-panda-42?referrer=catalog,https://images1.vinted.net/t/02_006c9_SfSC4qnqxrTdC3a6nPmDKnys/310x430/1702742151.jpeg?s=dce3213fedf7e1a587978b3a660ed0d40cde5402,FRANCE,Men
22,Nike Dunk low green,40.0,NIKE,VERT,45,https://www.vinted.fr/items/3888782693-nike-dunk-low-green?referrer=catalog,https://images1.vinted.net/t/03_022eb_ZTMR3NDdiQK6fqniX3idrV64/310x430/1702756706.jpeg?s=bd67e551e6dd44de5718a048dc5355b8dcf841bd,"ROMA, ITALIE",Men
23,Nike Dunk Low Medium Olive 46,55.0,NIKE,"VERT, KAKI",46,https://www.vinted.fr/items/3889991122-nike-dunk-low-medium-olive-46?referrer=catalog,https://images1.vinted.net/t/01_01e9b_7sj7iRkU9AaQpRCE42KhJUhx/310x430/1702812691.jpeg?s=3f581e6e62a73d66561622840effb477e111734c,"KÄERJENG, LUXEMBOURG",Men
24,Nike dunk low violet ,50.0,NIKE,VIOLET,"42,5",https://www.vinted.fr/items/3879764548-nike-dunk-low-violet?referrer=catalog,https://images1.vinted.net/t/02_01af6_feUsM5K6vLaXjmPPZ9s48yo8/310x430/1702491987.jpeg?s=a300cf5c2d9f0b71d63e312c4d6ac0ce98e57d09,"MATOUGUES, FRANCE",Men
25,Basket dunk low ,45.0,NIKE,"NOIR, MARINE",39,https://www.vinted.fr/items/3875393808-basket-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_01470_HxbZF5CQidNUCuFku3oxc9QA/310x430/1702390706.jpeg?s=4359b010ec38ee61ba4743bf4c48e1e3d02e5ffb,"MOUGINS, FRANCE",Men
26,Nike Dunk Hi 1985 SP,70.0,NIKE,"ORANGE, BLEU",41,https://www.vinted.fr/items/3889793578-nike-dunk-hi-1985-sp?referrer=catalog,https://images1.vinted.net/t/02_0207e_Y6XmMWw3xR2m6hguVXournbX/310x430/1702810082.jpeg?s=45a99e4a2b9bfa66fdf7b355b8887ca953f1c28f,"PARIS, FRANCE",Men
27,"Nike dunk high (44,5)",52.5,NIKE,"BLANC, BORDEAUX","44,5",https://www.vinted.fr/items/3890644250-nike-dunk-high-445?referrer=catalog,https://images1.vinted.net/t/01_013ea_LaDLrd8P7nqGDncpah4yVFFp/310x430/1702821178.jpeg?s=27eb7f19b6fd50fdeeedf601f97fbc6907ca8432,"BOURG-LÈS-VALENCE, FRANCE",Men
28,dunk low meidum olive 45,55.0,NIKE,"BLANC, KAKI",45,https://www.vinted.fr/items/3890014331-dunk-low-meidum-olive-45?referrer=catalog,https://images1.vinted.net/t/03_00609_K9wGMcznWuW365nfbxeZECub/310x430/1702812998.jpeg?s=b0882197b300a2ac67d730957d00c76a7415c1ce,"LUXEMBOURG, LUXEMBOURG",Men
29,Air max 90 triple black,75.0,NIKE,NOIR,"44,5",https://www.vinted.fr/items/3873417746-air-max-90-triple-black?referrer=catalog,https://images1.vinted.net/t/01_021bd_YQgaaPTLRZNXP6UyVybksga8/310x430/1702328432.jpeg?s=1380c27fb315520a8f5c989c196a4d433f277b69,FRANCE,Men
30,Nike Dunk Low ,60.0,NIKE,"GRIS, BLANC",40,https://www.vinted.fr/items/3882182519-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_01374_wAy8CWxYSQ7ErbE3vbyiAdCo/310x430/1702565939.jpeg?s=9436fb9423a38037a922e10118cc8aa6cff4828a,"CHAMBÉRY, FRANCE",Men
31,Nike Dunk High EMB Beige/Black Washed Teal ,45.0,NIKE,"NOIR, MENTHE",44,https://www.vinted.fr/items/3882050873-nike-dunk-high-emb-beigeblack-washed-teal?referrer=catalog,https://images1.vinted.net/t/03_0000d_TqBBTmBaMf2cWzs7oGioiuaS/310x430/1702563799.jpeg?s=9b54b8a4200a2eb351e952aed1c9c545ea8fd1f1,"TOULOUSE, FRANCE",Men
