Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Air Force 1 ,20.0,NIKE,BLANC,21,https://www.vinted.fr/items/3913789611-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_01bdd_iJLktqoASq9KNETjcr8gR9aU/310x430/1703754427.jpeg?s=59186912893166667459b95f4051c68291480ae7,"ANTWERP, BELGIQUE",Kid
Jongens schoenen Nike ,15.0,NIKE,"NOIR, BLANC",28,https://www.vinted.fr/items/3897920907-jongens-schoenen-nike?referrer=catalog,https://images1.vinted.net/t/03_0193f_ZfQk8fGWtmV4Aat68mKG7rF7/310x430/1703055879.jpeg?s=00c2e653e671b18439356892b009e36da8940e8f,"EINDHOVEN, PAYS-BAS",Kid
NIKE Court Borough ,20.0,NIKE,"NOIR, ROUGE",21,https://www.vinted.fr/items/3913803200-nike-court-borough?referrer=catalog,https://images1.vinted.net/t/02_0168f_hXrudXTxuDu5tYtZrFa4fewC/310x430/1703754774.jpeg?s=e902a2303674f948c818f6d7a20e44af840f067b,"ANTWERP, BELGIQUE",Kid
Handige Nike slippers met klittenband maat 36,5.95,NIKE,"BLEU, VERT",36,https://www.vinted.fr/items/3861100337-handige-nike-slippers-met-klittenband-maat-36?referrer=catalog,https://images1.vinted.net/t/03_013a4_z2Fyyqda6CVpMZNMUeWubMeS/310x430/1702104801.jpeg?s=55e3c7135d8441e1487dffbfbde8b4913c1214de,"SPAARNDAM, PAYS-BAS",Kid
"Nike jongens sneakers maat 23,5",10.0,NIKE,"NOIR, ROUGE",23,https://www.vinted.fr/items/3824820965-nike-jongens-sneakers-maat-235?referrer=catalog,https://images1.vinted.net/t/02_00a5d_jW1WMHZdZKvq5RX9xRgNQe5Z/310x430/1701263237.jpeg?s=46f43cda06592d13b9cfcb7785b2b0373f372800,"SPIJKENISSE, PAYS-BAS",Kid
"Maat 23,5 Nikes blauw jongens sneakers",23.0,NIKE,"BLEU, TURQUOISE",24,https://www.vinted.fr/items/3824815238-maat-235-nikes-blauw-jongens-sneakers?referrer=catalog,https://images1.vinted.net/t/01_00cef_MgHJykVb4dJXWM4Ai3LPmNUj/310x430/1701263163.jpeg?s=fdcee1e042e0fd2fdcd78fe9a61d494733a3b601,"SPIJKENISSE, PAYS-BAS",Kid
Nike blazer kinderschoenen ,30.0,NIKE,"NOIR, BLANC",25,https://www.vinted.fr/items/3787825849-nike-blazer-kinderschoenen?referrer=catalog,https://images1.vinted.net/t/02_005b8_TC6bkgEo3aB4QcZBKLH76rMb/310x430/1700504512.jpeg?s=626113fda7095a7e35236089c44ae1f7e872a3ac,"VENHUIZEN, PAYS-BAS",Kid
Nike voetbalschoenen met noppen ,7.5,NIKE,JAUNE,35,https://www.vinted.fr/items/3898141277-nike-voetbalschoenen-met-noppen?referrer=catalog,https://images1.vinted.net/t/02_00920_eZ1sC3PUFKWY9nvv4ek7EZGm/310x430/1703065229.jpeg?s=446b4da7b52ee533b38220c6a1fd6f0c7485b937,"'S-GRAVENHAGE, PAYS-BAS",Kid
Nike air max 90 talla 28.5.    17.5cm   originales a estrenar,72.0,NIKE,"NOIR, MULTICOLORE",28,https://www.vinted.fr/items/3909021081-nike-air-max-90-talla-285-175cm-originales-a-estrenar,https://images1.vinted.net/t/02_00ce8_9uq5BeQEUWRTYi856BMfXQ6g/310x430/1703600764.jpeg?s=f3776101e031442f9017403f25040f0908cd56c9,ESPAGNE,Kid
Leuke Nike AirMax maat 25,10.0,NIKE,"NOIR, MARINE",25,https://www.vinted.fr/items/3493903763-leuke-nike-airmax-maat-25?referrer=catalog,https://images1.vinted.net/t/01_01de2_VjoWq6J9YZ8B2ePqudpQJuUS/310x430/1695127557.jpeg?s=aa1a17440f20e52c8e512e335c44cf2a33bd5794,PAYS-BAS,Kid
Leuke gympen,5.0,NIKE,"GRIS, MULTICOLORE",38,https://www.vinted.fr/items/2646578334-leuke-gympen?referrer=catalog,https://images1.vinted.net/t/03_00351_JdzuqXb5QCEPEtj6K2TeAkPV/310x430/1675196273.jpeg?s=df244726d4bdeacf7cf03b3b17b78f63110ea08e,"ROTTERDAM, PAYS-BAS",Kid
Nike air max 90 talla 28.5.    17.5cm   originales a estrenar,72.0,NIKE,"NOIR, MULTICOLORE",28,https://www.vinted.fr/items/3909021081-nike-air-max-90-talla-285-175cm-originales-a-estrenar?referrer=catalog,https://images1.vinted.net/t/02_00ce8_9uq5BeQEUWRTYi856BMfXQ6g/310x430/1703600764.jpeg?s=f3776101e031442f9017403f25040f0908cd56c9,ESPAGNE,Kid
Nooit gedragen,,"50,00 €",BLANC,Nike,https://www.vinted.fr/items/3850412938-nooit-gedragen-mag-snel-wel?referrer=catalog,https://images1.vinted.net/t/01_014fe_tXhw4WEKNsxM5z3ubS6oqsaL/310x430/1701818060.jpeg?s=705059512b4156d5f8e6a9508e0a836a9b7ecd29,PAYS-BAS,Kid
