Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike Blazer,7.5,NIKE,"BLANC, CORAIL",38.5,https://www.vinted.fr/items/3808211046-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_01ee5_jJaEXHnibAuaUASJLjWEzvT1/310x430/1700933385.jpeg?s=712736d88dd37a1d67cf7a46f6ed8e711190e347,"ROTTERDAM, PAYS-BAS",Women
Sneakers - Nike Roshe One Valentine's Day,10.0,NIKE,"BLANC, ROUGE",37.5,https://www.vinted.fr/items/3883913822-sneakers-nike-roshe-one-valentines-day?referrer=catalog,https://images1.vinted.net/t/02_0130f_JDdNTYHxP8MCer5dmYQPt3pc/310x430/1702630584.jpeg?s=eff82d8dfd615ea5fb1ad7dc4733c815d39391dc,PAYS-BAS,Women
Prachtige Air force 1 by Nike,20.0,NIKE,"BLANC, MULTICOLORE",38.5,https://www.vinted.fr/items/3859318004-prachtige-air-force-1-by-nike?referrer=catalog,https://images1.vinted.net/t/03_00385_43gpofFH25SkgcY3uPRve3i6/310x430/1702046536.jpeg?s=0c35807a5e9474f95ea946c75437a8289ff0e62a,PAYS-BAS,Women
Nike sneakers,30.0,NIKE,"BLANC, BEIGE",38.5,https://www.vinted.fr/items/3894770172-nike-sneakers?referrer=catalog,https://images1.vinted.net/t/02_00c06_X6wpDDpSPjATn3eMLJvxcizX/310x430/1702925652.jpeg?s=a1d0c67561244fd600c221a9293bdbd2c7ecd4d6,BELGIQUE,Women
Nike sportschoenen,20.0,NIKE,"BLANC, CRÈME",37.5,https://www.vinted.fr/items/3894774215-nike-sportschoenen?referrer=catalog,https://images1.vinted.net/t/01_01b79_yhUBrBWDWK5DCFHfjzSKHgz1/310x430/1702925732.jpeg?s=e3c85eb94cdd0dc86bbd7114ad0fcabc1453e1d1,BELGIQUE,Women
"Sneakers Nike Cortez p.36,5 excellent état ",18.0,NIKE,"BLANC, DORÉ",36.5,https://www.vinted.fr/items/3579309980-sneakers-nike-cortez-p365-excellent-etat?referrer=catalog,https://images1.vinted.net/t/02_007a1_W1MenahS3k1B8KZG4btdBD9t/310x430/1696766475.jpeg?s=7ddd2e639c01e1eb24aeb57f8f20aa3390570e52,"SILLANS, FRANCE",Women
Nike cortez sneakers ,25.0,NIKE,BLANC,38.5,https://www.vinted.fr/items/3393062201-nike-cortez-sneakers?referrer=catalog,https://images1.vinted.net/t/02_016bd_wuz2kwQUMcGgsp4gErNndFCX/310x430/1693054086.jpeg?s=86ce7430b51522507b2336bbbce91d55a33ec34a,PAYS-BAS,Women
Nike dunks zwart/wit,50.0,NIKE,"NOIR, BLANC",39,https://www.vinted.fr/items/3646686856-nike-dunks-zwartwit?referrer=catalog,https://images1.vinted.net/t/01_01ab0_pfMwGuep6ZpAY5T8qhHTZRQ1/310x430/1697975909.jpeg?s=875041f474925c030bb9a82dc4b6fd699808e32e,"ARENDONK, BELGIQUE",Women
Nike Zoom X Vista Grind White Bright Crimson Black (Women's),78.0,NIKE,"NOIR, BLANC",40,https://www.vinted.fr/items/3780290221-nike-zoom-x-vista-grind-white-bright-crimson-black-womens,https://images1.vinted.net/t/02_006c6_hkJwpV6y3owEvuUmLgrK7Prt/310x430/1700397525.jpeg?s=4ed6b3d4a897e0109a660cfab82a4a8f9a7954d7,"ALMELO, PAYS-BAS",Women
nike dunk high rood ,75.0,NIKE,"ROUGE, BORDEAUX",41,https://www.vinted.fr/items/3899224713-nike-dunk-high-rood?referrer=catalog,https://images1.vinted.net/t/01_00aff_PR6csoNCqL5NSvU5vPzynxBP/310x430/1703089235.jpeg?s=2b3d30e9a6aaa778dfe98c1193ae0fde5f8ca2ca,PAYS-BAS,Women
Zwart/witte Nike sneakers ,50.0,NIKE,"NOIR, BLANC",39,https://www.vinted.fr/items/3899212632-zwartwitte-nike-sneakers?referrer=catalog,https://images1.vinted.net/t/01_001ce_wHeMaYwibcSQfR6w2rXegKhT/310x430/1703088955.jpeg?s=2f9a7040aa76ec96f49a4c6211f31713b086cbd9,"ENKHUIZEN, PAYS-BAS",Women
"Nike Tiempo (kunst)gras voetbalschoenen 38,5",11.5,NIKE,NOIR,38.5,https://www.vinted.fr/items/3779883784-nike-tiempo-kunstgras-voetbalschoenen-385?referrer=catalog,https://images1.vinted.net/t/01_015de_kkf2BwspYozbXncmYV1bwcoX/310x430/1700394489.jpeg?s=d72ded38ee4302e9dd32ef82e8b041e83a442e77,"BORCULO, PAYS-BAS",Women
Nike Blazer Mid,39.0,NIKE,"NOIR, BLANC",42,https://www.vinted.fr/items/3694530471-nike-blazer-mid?referrer=catalog,https://images1.vinted.net/t/02_014b9_rqcU6ALhGXCFyf1KWtNLcWfE/310x430/1698838590.jpeg?s=36947d5c709b9b3ef097a918d7ad3a029dcf0f3d,"HOOGEZAND, PAYS-BAS",Women
Jordans,40.0,NIKE,"NOIR, MENTHE",41,https://www.vinted.fr/items/3874777726-jordans?referrer=catalog,https://images1.vinted.net/t/03_016fc_pxMGbxHHQn5U19z4Y3EVSZXP/310x430/1702381689.jpeg?s=0c63448d5b270f27d5fa772b6b0c9952780eae73,"EMMELOORD, PAYS-BAS",Women
