Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike court vision mid nieuw! Unisex,53.0,NIKE,NOIR,40,https://www.vinted.fr/items/3879596091-nike-court-vision-mid-nieuw-unisex?referrer=catalog,https://images1.vinted.net/t/03_0199d_zPk7taTNFM7ojYE1s8ZggsBN/310x430/1702489235.jpeg?s=ffd9142f31bf2753e643279c302e4bd6efded701,PAYS-BAS,Men
Zwarte Nike Air Max schoenen,19.99,NIKE,NOIR,41,https://www.vinted.fr/items/3911558584-zwarte-nike-air-max-schoenen?referrer=catalog,https://images1.vinted.net/t/03_0181f_wchGzSPbvE4X3TbQVG7kbK9S/310x430/1703683939.jpeg?s=fc5de8255d7c27e798f13e2a4e0f5caa8416e6a7,"SASSENHEIM, PAYS-BAS",Men
Nike Air Force 1 shadow - zwart maat 39,60.0,NIKE,NOIR,39,https://www.vinted.fr/items/3817934940-nike-air-force-1-shadow-zwart-maat-39?referrer=catalog,https://images1.vinted.net/t/01_00463_1y4KrFRjxRmHnj6wxVa3f7zA/310x430/1701106611.jpeg?s=a6b57a2addb20493ea733154542d04865953f448,"HOORN, PAYS-BAS",Men
Nike phantom,100.0,NIKE,"NOIR, ORANGE","45,5",https://www.vinted.fr/items/3856587063-nike-phantom?referrer=catalog,https://images1.vinted.net/t/02_00843_6fAbBry6KX5aDC7o256vwonb/310x430/1701971731.jpeg?s=4caa76c761b73697a59bf2f75581c49479bb41bd,"EMMEN, PAYS-BAS",Men
Nike Phantom GX Elite,150.0,NIKE,"NOIR, ROSE",44,https://www.vinted.fr/items/3910971158-nike-phantom-gx-elite?referrer=catalog,https://images1.vinted.net/t/01_023e9_VQjGmKJJmfxcaPSe6uVTw2by/310x430/1703675281.jpeg?s=e8da525f0a739d1b79e77dd5a07bbdb3eeb038b4,PAYS-BAS,Men
Nike air force,60.0,NIKE,"BLANC, ROUGE","43,5",https://www.vinted.fr/items/3269244091-nike-air-force?referrer=catalog,https://images1.vinted.net/t/02_00457_Z2EowNJW8uo7HxMi1Bje2crw/310x430/1690116844.jpeg?s=ada116f7497fb6921d16f84d3b45eb7cf338e4ab,"STEENDEREN, PAYS-BAS",Men
Nike Mag back to the futur,250.0,NIKE,"GRIS, BLANC",45,https://www.vinted.fr/items/3829933381-nike-mag-back-to-the-futur?referrer=catalog,https://images1.vinted.net/t/03_02322_E9yUzkgTZkoW9f4zcw9kK1c3/310x430/1701367055.jpeg?s=7e8c8ab8f4c3e310f9340316dc1f336dbd5abab6,FRANCE,Men
Nike Air Max 95 blue azul negra ,35.0,NIKE,NOIR,38,https://www.vinted.fr/items/3900893945-nike-air-max-95-blue-azul-negra?referrer=catalog,https://images1.vinted.net/t/03_01d47_sg136bh7r2PsvQEzi9QVVvWz/310x430/1703165269.jpeg?s=edc88b324adbb0b9cd069dff60d1ec589b40762a,ESPAGNE,Men
Botas de fútbol nike phantom gt2 academia tala 38.5.  24cm,50.0,NIKE,"NOIR, DORÉ",38,https://www.vinted.fr/items/2553331424-botas-de-futbol-nike-phantom-gt2-academia-tala-385-24cm,https://images1.vinted.net/t/02_00e1a_68RJYx69B56NUnXmTL73QMx6/310x430/1672742572.jpeg?s=ffa03821348bb95b886eee088eed06fb57d3838c,ESPAGNE,Men
Nike sportschoenen,10.0,NIKE,NOIR,38,https://www.vinted.fr/items/3530659326-nike-sportschoenen?referrer=catalog,https://images1.vinted.net/t/02_00d96_9VAAESCnvtJARPWJ5neiEP7b/310x430/1695817652.jpeg?s=5b12c53396b749e5747e61cf10824eab6cdfc833,"LOKEREN, BELGIQUE",Men
